premise,label,hypothesis
legal aid has uncomfortable company.,1,the atmosphere within legal aid might not be considered comfortable by everyone.
"surrounded by heavily industrialized suburbs, the old center of kurashiki has canals lined with dreamy willow trees a reverse comment on the horrors of war.",2,the willow trees lining kurashiki's canals were planted after the war as a symbol of hope.
the federal cio is also subject to a funding process that is more complex and uncertain than in most other organizations.,2,the federal cio's funding is allocated automatically and doesn't require any specific applications or justifications.
oh that's great yeah yeah i don't do a whole it uh time seems to be hard to find for anything you want to do i don't know why,1,start_of_turn>model
"all is forgiven when tarzan (the voice of tony goldwyn) meets minnie driver--i mean, jane.",2,tarzan and jane's meeting is marked by tension and resentment.
charlotte square is arguably the jewel of the new town.,0,tart_of_turn>user
"while service standards differ (many countries offer two mail deliveries each weekday, for example), even at 33 cents, u.s. prices compare favorably with first-class rates overseas--japan charges 74 cents, germany 59 cents, france 48 cents, and great britain 37 cents.",1,tart_of_turn>user
"his kingdom prospered, and by the time his son solomon succeeded him, in about 965 b.c. , almost all the extensive, rich lands between the rivers nile and the euphrates were part of the kingdom of israel.",1,start_of_turn>model
well well in our area we just introduced the um citywide uh clean king sport campaign and we have a recycling mascot called kleanaroo he's a kangaroo and um we're setting up curbside recycling bins for the city home owners and several of our local businesses also have recycling stations set up in their parking lots,2,the city-wide campaign received strong support from local businesses.
legal aid has uncomfortable company.,1,legal aid faces challenges in creating a comfortable work environment.
"i must say ” ”"" but i stopped suddenly. ",0,i hesitated before speaking those words.
the man's right arm had been broken and completely twisted around.,0,start_of_turn>model
no i don't my my wife has been working with them,2,my wife has been collaborating with them professionally.
"a ritualistic mark of bravery for carib warriors was cannibalism, and it's for this that history most remembers the indians who invented the hammock and gave their name to the caribbean.",0,start_of_turn>model
"the critical instance case study examines one, or very few, sites for one of two purposes.",1,the objective of studying a few sites in a critical instance case study could encompass multiple goals.
"but even though suharto has been defeated, the real battle lines between economic and political liberalization are just now being drawn.",1,suharto's defeat may be related to a decline in his power.
a drop-ship discount might also evoke type-1 worksharing activity.,1,people may share personal details with each other at work.
"it swelled to the size of a football, then was man-sized, and growing to the size of a huge tank that filled most of the tent.",2,start_of_turn>model
"the new  deterring nuclear, biological, or chemical warfare by lesser powers (formalizing president bush's implicit warning to saddam hussein during the gulf war).",2,president bush publicly praised saddam hussein's military strategy during the gulf war.
grass became rock and rock became sand.,2,the statement 'grass became rock and rock became sand' is inaccurate.
"this guide discusses the goals, success factors, and practices associated with building a worldclass finance organization.",2,start_of_turn>model
'what's it like to be back in louisian?',2,louisiana feels completely foreign to you after being away.
humidity or something,2,start_of_turn>model
"these trends also contribute to a huge, longer-range fiscal and budgetary challenge facing the united states.",0,the trajectory of current trends will lead to considerable fiscal and budgetary problems for the us in the future.
over time these distinctions have deteriorated.,1,tart_of_turn>user
uh-hum probably you read a book review or something some kind of review on it,2,you definitely read a book review or some kind of review about it.
"no definitive number of americans who went over to the enemy is available, but moorer indicated there were scores.",1,moorer may have received reports indicating a significant number of americans went to the enemy side.
"for this reason, interest earned by revolving funds should normally be classified as exchange revenue.",1,tax treatment of exchange revenues is unique compared to other revenue streams.
no i don't my my wife has been working with them,2,"they, my wife, and i are all part of the same team."
"these trends also contribute to a huge, longer-range fiscal and budgetary challenge facing the united states.",0,tart_of_turn>user
"it is difficult to fix precisely the dates of the various festivals, as most of them are determined by lunar calendars which vary from year to year.",0,start_of_turn>model
"it is difficult to fix precisely the dates of the various festivals, as most of them are determined by lunar calendars which vary from year to year.",0,"determining precise dates for many festivals is difficult because they rely on lunar calendars, which change from year to year."
that's right i mean the israeli's aren't they're not afraid of anything,0,israelis possess a great deal of bravery.
how were discrepant findings resolved?,1,tart_of_turn>user
"but if you're not watching close ly, you may miss the unprepossessing bust of christopher columbus perched atop a column in a little roadside square.",1,christopher columbus's bust is not a large monument.
the federal cio is also subject to a funding process that is more complex and uncertain than in most other organizations.,2,let me know if you'd like more examples!
