text,label
"**global heating energy costs rise as oil prices hit   dollars per barrel.** the world's largest oil heating market, the u.s. northeast, is experiencing a surge in heating oil demand due to cold weather, driving worldwide oil prices higher.",2
"european shares dipped on monday amidst thin trading activity, largely attributed to rising crude oil prices.  however, pharmaceutical giant sanofi-aventis saw its stock rise on the successful outcome of obesity drug trials.",2
"the dallas cowboys needed all hands on deck to overcome the browns. their defense excelled, and coach bill parcells' strategic brilliance proved decisive in their sunday victory.",1
"**justice delayed but not denied: iraq to try saddam era officials:**  in a significant step towards accountability, iraq will finally see the commencement of war crimes trials against top officials from saddam hussein's government.",0
international attention is focused on bangladesh as an interpol team arrives to conduct an investigation into the deadly grenade attack during a political rally.,0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'world' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'three dutch police injured in anti-terror raid suspects sought in a dutch anti-terrorism raid threw a hand grenade in a standoff with police on wednesday, injuring three officers, amid a spiral of violence following the killing of an outspoken filmmaker.'",0
"a sophisticated twist on the zafi worm has emerged, utilizing holiday goodwill to deliver malicious code disguised within christmas-themed emails.",3
start_of_turn>model,0
tart_of_turn>user,3
"this text explores the potential of digital technologies to be repurposed for both constructive and destructive purposes, using the example of email spam and automated countermeasures. this raises broader questions about the ethical and societal implications of rapidly advancing technology.",3
"in his first speech to the united nations general assembly (unga), indian prime minister manmohan singh is expected to urge global leaders to intensify efforts against terrorism and advocate for india's permanent seat on the un security council.",0
"recent competition results showcase cutting-edge skyscraper designs for ground zero that leverage wind and solar power, demonstrating progress in green building technology and clean energy integration.",3
"here are five paraphrases of the given text, each focused on the 'business' category:",2
"**the ruling communist party of china (cpc) unveiled a significant policy document on sunday, emphasizing the strengthening of its governance structure and its essential role in shaping china's socialist future.**",0
"at the request of the bangladeshi government, a team of interpol experts traveled to dhaka to investigate the august   grenade attack on opposition leader sheikh hasina's rally on bangabandhu avenue.",0
"climate change and deforestation pose significant threats to the world's southernmost old-growth forest in chile's tierra del fuego. a new initiative is launching, employing advanced data analysis and satellite monitoring to track forest health, predict potential threats, and implement targeted conservation measures.",3
tart_of_turn>user,1
tart_of_turn>user,2
start_of_turn>model,1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'sports' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'no.   tenn. stuns no.   florida  -  (ap) ap - james wilhoit kicked a  -yard field goal with six seconds to go to lift no.   tennessee to a  -  victory over  th-ranked florida on saturday night.'",1
"**strong support for disney ceo iger as he faces potential rivals.**  walt disney co.'s board has unanimously expressed their support for ceo robert iger, addressing concerns about potential internal and external challenges.",2
"dwight phillips' impressive jump in the olympic long jump final proved that he remains a dominant force, securing him a third consecutive gold medal.",1
start_of_turn>model,0
"**supply worries drive up oil prices:**  u.s. strategic oil reserve releases failed to significantly impact oil prices, which climbed higher on friday due to persistent worries about global supply constraints.",2
start_of_turn>model,1
tart_of_turn>user,0
tart_of_turn>user,2
"**santander chair faces fraud trial:** the head of spain's biggest banking conglomerate, santander central hispano, is scheduled to face trial on accusations of tax evasion.",2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'science and technology' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'kennedy knicknacks to go on the block next year lovers of kennedy lore will get a rare chance at owning some common possessions of late president john f. kennedy and his family in an auction of art, furniture and other effects from their homes.'",3
a pioneering conservation project is underway in chile's tierra del fuego region to safeguard the world's southernmost old-growth forest from the remnants of a failed logging operation. this initiative combines ecological management strategies with advanced technological tools to monitor and protect this unique ecosystem.,3
"the upcoming trial of former enron executives could expose questionable practices on wall street, potentially leading to significant repercussions for the financial industry.",2
"in an upset victory, the  th-ranked tennessee volunteers defeated the  th-ranked florida gators with a score of  -  thanks to a game-winning  -yard field goal by james wilhoit.",1
"here are five paraphrases of the given text, each focused on the 'science and technology' category:",3
tart_of_turn>user,2
start_of_turn>model,1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'business' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'coca-cola h net to miss estimates coca-cola co., said its second-half earnings will decline because of sluggish sales in north america and europe. its shares are traded at the lowest level since may   .'",2
here are  paraphrased versions of the given text under the 'sports' category:,1
"here are five paraphrases of the provided text, each focused on the 'sports' category:",1
"the    olympic games witnessed a wave of global enthusiasm, including from greece where even grandmothers rallied behind their athletes.  greece's performance was notable, with a medal haul of  , exceeding many expectations. driven by this success, the greek olympic committee now aims to push even harder, targeting a doubling of their medal count in future events, solidifying greece's place on the global sporting stage.",0
tart_of_turn>user,0
"**strong earnings announcements from tech stalwarts intel and yahoo propelled asian stocks upward on wednesday. this development contrasted with a downward trend in oil prices, which eased concerns about inflationary pressures in global markets.**",2
tart_of_turn>user,0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'science and technology' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'give the e-mail spammer a life-time of internet pop-up messages this may be a calumny on leesburg, virginia, but somehow it doesn # ;t sound like the sort of place we would associate with a liberal judiciary.'",3
tart_of_turn>user,0
"**energy markets on watch: oil prices surpass $ /barrel.** growing demand for heating oil in the u.s. northeast, due to cold weather, is pushing prices upward for the third consecutive day.",2
**scientists warn that recreational fishing practices are having a greater negative effect on fish populations than previously believed.**,3
