text,label
"here are  paraphrases of the text ""waymo is quietly winning the self-driving car race while uber was talking, the google spin-off was rolling.""  in the 'business' category:",2
tart_of_turn>user,1
"microbiologists debunk the common ""five-second rule,"" stating that the duration food spends on the floor doesn't determine contamination levels.",3
tart_of_turn>user,2
start_of_turn>model,3
"here are five paraphrases of ""how seagull managers make everyone miserable""  under the 'business' category:",2
start_of_turn>model,0
tart_of_turn>user,3
let me know if you'd like more examples!,3
"new evidence from microbiology challenges the notion that a ""time limit"" exists for food dropped on the floor to be considered safe.",3
let me know if you have another text you'd like me to paraphrase!,2
analyzing search trends for different pokémon species can shed light on public fascination with fictional creatures and the potential applications of data analysis in understanding cultural phenomena.,3
"more than just victories: dean smith's enduring legacy in sports goes far deeper than statistics. it's about the embodiment of a champion's spirit, evident in his   wins, an olympic gold medal in   , two division i championships, and eleven final four appearances. it's about living a life dedicated to sportsmanship and integrity.",1
tart_of_turn>user,3
"it's important to note that while the original text has themes related to doomsday beliefs,  reframing it within the 'science and technology' category allows for a more analytical and potentially scientific approach to understanding the psychological impacts of technological predictions.",3
"here are five paraphrases of ""the worst tv sports show in history?"" in the 'sports' category:",1
"here are five paraphrased versions of the given text, each focused on the 'world' category:",0
**mlb star carl crawford is engaged!**  evelyn lozada recently discussed her relationship with the dodgers' crawford in an interview.,1
"c.j. mccollum's rise to nba stardom is a testament to his unwavering dedication, both on and off the court, which he's displayed since his days as a small-school standout.",1
"here are five paraphrased versions of the text ""mitch mcconnell delays senate recess looks like lawmakers will be in d.c. a while longer"" within the ""world"" category:",0
the author proposes a novel approach to improving market functionality:  crafting business environments that facilitate better decision-making. they challenge the prevailing view that market failures are solely due to individual shortcomings.,2
tart_of_turn>user,0
"while uber focused on public discourse, waymo, spun off from google, quietly built momentum in the competitive self-driving car sector.",2
let me know if you'd like to see more paraphrases for this text.,0
tart_of_turn>user,3
start_of_turn>model,3
"**corporate social responsibility at estée lauder:** the estée lauder companies prioritize social impact through nancy mahon, their senior vice president of global philanthropy and corporate citizenship. she also leads the m·a·c aids fund, reflecting the company's dedication to business with a conscience.",2
"**a groundbreaking study exploring meteor acoustics posits that we could one day hear the passage of space rocks through the atmosphere, offering unprecedented insights into their composition and trajectory.**",3
"the tech world mourns the loss of andy grove, a visionary leader who shaped the landscape of silicon valley and whose insights on innovation remain influential today.",3
**the retraction of five studies in    has spurred discussion about research ethics within the scientific community.  such incidents underscore the need for rigorous peer review and robust safeguards against misconduct in scientific investigations.**,3
tart_of_turn>user,3
"**the lakers are primed for a return to their ""showtime"" roots, according to owner jerry buss. the  -year-old intends to create a team built around fast-paced, high-scoring basketball, a style that defined the lakers' past glory.**",1
"a groundbreaking experiment by nasa's propulsion team demonstrated the capabilities of their most advanced rocket booster, which delivered a remarkable   million pounds of thrust.",3
tart_of_turn>user,2
let me know if you'd like more paraphrases!,3
"neil degrasse tyson's twitter account wishes a festive ""merry christmas"" with a dash of scientific humor.",3
"can markets be made more efficient even when individuals act in ways deemed irrational? the author proposes that by creating intelligent, decision-support systems, businesses and investors can improve market outcomes.",2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'sports' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'c.j. mccollum won't stop working, on and off the court from unheralded recruit and small-school phenom to nba star.'",1
"computational linguistics techniques can be applied to analyze user search queries related to fictional characters like pokémon, revealing insights into collective preferences.",3
"**ecuador's hopes for world cup success rest on a striker drawing comparisons to the powerful brazilian legend adriano. with his impressive strength and thunderous shot, he aims to lead ecuador through a relatively manageable group stage.**",1
"here are five paraphrased versions of the given text, each focusing on the 'world' category:",0
"here are five paraphrases of the given text, re-worded to fit the 'business' category:",2
**business giant aflac is embroiled in controversy as a lawsuit alleges unfair treatment of its workers. the company insists that the claims are baseless.**,2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'science and technology' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'the latest hypocrisy in svp expert testimony railroading people inappropriately into psychiatric hospitals is a slippery slope that can lead to grave violation of human rights and a distortion of our most precious constitutional protections.'",3
"**despite the ada's  th anniversary, progress on web accessibility is stalled. the white house continues to review rules that would ensure websites are usable for people with disabilities.**  this paraphrase emphasizes the stagnation in progress.",3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'business' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'how to run a successful crowdfunding campaign (to finance your dream) i am making a documentary. in india. and i have zero money. and i mean really zero -- i work at a small ngo in one of the'",2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'science and technology' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'the mystery of alaska's sea otter deaths continue to baffle scientists ""it’s scary to know there’s something out there in the wild that we may or may not be able to do anything about.""'",3
"while major league baseball and other pro leagues are eager to resume play, the escalating covid-  pandemic casts doubt on the wisdom of america's readiness to return to full-scale sports.",1
"from humble beginnings as an unknown talent in college basketball to his current status as an nba star, c.j. mccollum's relentless work ethic has been a constant in his journey.",1
start_of_turn>model,1
"**from politics to profits:  key takeaways from a divisive election for business leaders:** this election serves as a powerful case study in navigating complex social and political landscapes. business leaders can apply the lessons learned about communication, empathy, and finding common ground to foster greater unity within their organizations.",2
"**beyond the gridiron, tim tebow extended his compassionate nature to a group of travelers in need, offering solace after a passenger collapsed on their flight.**",1
"**trump family connection raises questions about'skills-based hiring' campaign.** ivanka trump's campaign for ""skills-based hiring"" has drawn scrutiny from international audiences, with many questioning the credibility of her message given her own history of preferential treatment.",0
"**angel investor and laconia capital group lp, kelly hoey,  discloses her key business insight:  networking, if done effectively, can propel businesses to higher levels.  hoey encourages businesses to move past random networking and adopt a more strategic approach for success.**",2
tart_of_turn>user,1
"here are five paraphrases of the given text, each focused on the 'business' category:",2
"**a decline in economic activity raises red flags for businesses, prompting them to reassess strategies and prepare for potential challenges.**",2
"**global power dynamics are at play as a long-standing vacancy in a crucial federal judgeship in wisconsin fuels tensions.** with accusations of partisan maneuvering by senator ron johnson, president biden faces a difficult decision that could reverberate throughout u.s. legal systems and resonate internationally.",0
start_of_turn>model,0
what sports-focused television show has fallen short of expectations and is often cited as the worst?,1
let me know if you'd like even more paraphrases!,0
**neonicotinoid risks confirmed: eu implements pesticide moratorium:**  the european union's    ban on neonicotinoid pesticides came after laboratory investigations revealed potential dangers to bee populations.,3
start_of_turn>model,0
**workplace psychology: how authoritarian management styles can create a culture of misery**,2
let me know if you'd like to see more paraphrasing variations!,3
"**a young ecuadorian striker, compared to brazilian icon adriano, is the key to their world cup hopes. this group stage showdown against france, switzerland, and honduras will test if his talent can translate to success.**",1
headlines are buzzing as nfl commissioner roger goodell has canceled his appearance at a  ers matchup.,1
"scientists are struggling to identify the cause of a mysterious die-off of sea otters in alaska, underlining the complexities of wildlife conservation.  a researcher highlighted the difficulty in addressing threats that emerge unexpectedly in unpredictable natural environments.",3
tart_of_turn>user,2
start_of_turn>model,3
"**technological advancements in veterinary medicine are leading to new methods for identifying and treating canine arthritis, a common condition affecting aging pets.**",3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'world' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'kristol is clear republicans are lining up behind donald trump, but bill kristol is still trying to stop him. too bad pundits are conflating'",0
"building a strong brand in business requires self-promotion.  whether it's through thought leadership content, networking, or simply articulating your value proposition, showcasing your strengths is essential for attracting opportunities and clients.",2
"here are five paraphrased versions of the text, each categorized as 'sports':",1
"c.j. mccollum's success story highlights the importance of dedication and perseverance in achieving athletic greatness, as he transitioned from a relatively unknown recruit to a prominent nba player.",1
"beyond the scoreboard: dean smith's impact on the world of sports is not just about his   wins, olympic gold medal, or championships. it's about his enduring influence on countless athletes and his commitment to ethical and admirable conduct, proving that sports can inspire greatness both on and off the field.",1
"the alexa incident sheds light on the ongoing advancements and challenges in artificial intelligence. despite its capabilities, alexa's autonomous ordering of dollhouses underscores the need for  improved ai algorithms to ensure accurate interpretation of user commands.",3
"amidst the holiday cheer, neil degrasse tyson's twitter account extends ""merry christmas"" greetings to its followers with a playful tone.",3
"**after initially committing to the dallas mavericks, deandre jordan reversed course, choosing to continue his career with the los angeles clippers.**",1
"**firing of campaign organizer sparks accusations of discrimination, raising international concerns about trump's campaign practices.**",0
**competition law enforcement in germany is taking aim at amazon.  they accuse amazon of hindering competition and are threatening to use extreme measures unless amazon agrees to restructure its business practices. this development illustrates the growing awareness of the potential dangers of unchecked tech dominance.**,3
"**the baseball world is shaken as it has been reported that the mother of pittsburgh pirates' star catcher elias diaz, ana soto, has been kidnapped in venezuela. the pirates organization is now focused on ensuring her immediate safe return.**",1
"**south carolina's hosting of a major ncaa tournament is overshadowed by the appearance of a controversial flag, highlighting lingering tensions over its history and symbolism.**",0
"here are five paraphrased versions of the text ""the mystery of alaska's sea otter deaths continue to baffle scientists ""it’s scary to know there’s something out there in the wild that we may or may not be able to do anything about.""'  formatted for the 'science and technology' category:",3
**international tensions rise as a former trump campaign organizer alleges discriminatory practices.**,0
**the scientific community grapples with a disturbing trend: the withdrawal of five groundbreaking studies from   . these retractions illustrate the critical importance of scientific integrity and the potential harm caused by fabricated or manipulated data.**,3
"here are five paraphrased versions of the text ""c.j. mccollum won't stop working, on and off the court from unheralded recruit and small-school phenom to nba star.""  all categorized under 'sports':",1
**international headlines: tense political stalemate in washington as senate recess blocked.**,0
terry jordan's mistake of buying a foreclosed home in mississippi underscores the complexities and potential for missteps in the real estate market. this case serves as a cautionary tale for buyers and highlights the need for increased awareness and diligence during foreclosure sales.,2
"**the rise of the slang term ""no, totally"" is being examined by linguists as a possible indicator of evolving language structures and social norms.**",3
"the self-driving car race has become a story of quiet success for waymo, a google spin-off, as opposed to uber's more vocal approach.",2
tart_of_turn>user,3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'world' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'conservative activist phyllis schlafly dead at   schlafly was instrumental in the defeat of the equal rights amendment.'",0
"a mississippi woman's experience highlights the potential pitfalls of rapid foreclosure proceedings, as she unknowingly purchased a home that was already in foreclosure. this case demonstrates the risks associated with expedited processes in the real estate industry.",2
"once a humorous suggestion, the idea of gavin newsom running for u.s. president has now gained serious consideration, with analysts exploring the potential ramifications for global politics.",0
"**language models and bias:**  a new study revealed significant findings about women's health, but media coverage focused on a trivialized phenomenon known as ""man flu,"" highlighting the inherent biases in how language models and news outlets prioritize information.",3
**partisan divide threatens global values:** the increasing polarization within the united states raises concerns about the future of democracy and its impact on global political stability.,0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'business' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: ' leadership lessons from an historic presidential election six leadership lessons from an historic presidential election as half the u.s. struggles with feelings of numbness and despair'",2
"**the trail of large, undisclosed political donations made by shadowy groups in    went cold by   , raising questions about their impact.**",0
"**renowned conservative figure phyllis schlafly, known for her staunch opposition to the equal rights amendment, passes away at  .** (focuses on schlafly's global impact and legacy)",0
"here are five paraphrases of the given text, each tailored for the 'sports' category:",1
"**scientists in china achieve breakthrough, successfully cloning two monkeys, a feat that could pave the way for future human applications. the team leader proclaims the technical hurdle has been overcome.**",0
"here are five paraphrases of the provided text, each categorized as 'sports':",1
"here are five paraphrases of the given text, categorized as 'science and technology':",3
start_of_turn>model,1
"sexual harassment allegations lead to resignation in norway, highlighting the widespread impact of the #metoo movement across continents.",0
"**in a bid to foster a competitive tech landscape, a german regulatory body is issuing a stern warning to amazon.  they are employing powerful tools to address concerns regarding amazon's alleged anti-competitive strategies. unless amazon cooperates, the watchdog is prepared to utilize strong-arm tactics to remedy the situation.**",3
"**this article examines the importance of innovation for businesses in a rapidly changing world. it explores the concepts of ""innovation"" and ""disruption,"" clarifying their definitions and highlighting their impact on business strategies.**",2
"**zero budget documentary: the power of crowdfunding:** a documentary filmmaker is showcasing the potential of crowdfunding to empower individuals with innovative financing options for creative projects, demonstrating its efficacy even when starting with no capital.",2
these paraphrases emphasize the potential global significance of the events described in the text by:,0
