text,label
cutting knowledge date: december,2
here are five new questions that fit the 'society & culture' topic:,0
who is credited with the first commercial production of penicillin?,0
what is the name of the stadium where the olympics opening ceremony takes place?,4
what are the laws of universal gravitation formulated by sir isaac newton?,1
cutting knowledge date: december,0
"based on the examples provided, i'll generate  new questions that fit the 'science & mathematics' topic.",1
what term refers to the highest point in any given round of a golf tournament?,4
who is known as the father of economics?,3
"who wrote the influential book on game theory called ""the theory of games and economic behavior""?",3
"what is the term used to describe a situation where a business pays a large sum of money to a customer but receives a low amount of cash in return, often resulting in a financial loss?",5
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
what is the normal dose of insulin for treating type  diabetes in adults?,2
"based on these observations, here are five new questions that fit the 'health' topic:",2
what historical figure wrote the influential book 'the republic'?,3
what is the term for the hypothetical particles thought to make up about  % of the universe's mass-energy density?,1
what nutrient deficiency might cause hair loss and fatigue?,2
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
cutting knowledge date: december,0
what is the largest planet in our solar system?,1
what major financial crisis occurred in    that led to a global recession?,5
what is the scientific term for the 'building blocks of life'?,1
what is the main difference between a glossary and a dictionary in linguistics?,3
what are the usual causes of insomnia in adults?,2
cutting knowledge date: december,4
today date:   jul,3
what company is known for its smartwatch technology and has a market capitalization over $ trillion?,5
today date:   jul,1
"based on the examples provided, here are  new questions that fit the 'business & finance' topic:",5
today date:   jul,3
cutting knowledge date: december,5
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,3
what is a'bull run'in financial markets?,5
what sport did usain bolt rise to prominence in?,4
who did michael phelps beat in the    butterfly at the    beijing olympics?,4
of_text|><|start_header_id|>system<|end_header_id|>,5
of_text|><|start_header_id|>system<|end_header_id|>,0
of_text|><|start_header_id|>system<|end_header_id|>,4
today date:   jul,5
what are the main principles of the dewey decimal classification system?,3
what is the concept of  sigma in quality management?,3
in which year did the us win the gold medal in the pairs figure skating event at the winter olympics?,4
of_text|><|start_header_id|>system<|end_header_id|>,3
of_text|><|start_header_id|>system<|end_header_id|>,2
what is the primary factor affecting the stock price of a company after a merger or acquisition?,5
what is the name of the famous tennis tournaments played on the red clay courts at roland-garros in paris?,4
of_text|><|start_header_id|>system<|end_header_id|>,5
which type of exercise is known to reduce the risk of type  diabetes?,2
who introduced the concept of yoga to the west?,0
cutting knowledge date: december,3
"who said that a society's failure is not in trying and failing, but in failing to try?",0
of_text|><|start_header_id|>system<|end_header_id|>,3
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'education & reference' topic. output each generated question in the form of a numbered list separated by new lines.",3
in which year was the library of alexandria burned down?,3
"what is the definition of the term ""pedagogy"" in the context of education?",3
"who is the current ceo of apple, inc.?",5
who is the patron saint of italy?,0
of_text|><|start_header_id|>system<|end_header_id|>,1
what is the recommended daily intake of vitamin d for adults?,2
cutting knowledge date: december,4
"based on the given examples, i'll generate  new questions that fit the 'society & culture' topic:",0
of_text|><|start_header_id|>system<|end_header_id|>,3
what is the main component of a healthy diet that help reduce the risk of heart disease?,2
of_text|><|start_header_id|>system<|end_header_id|>,5
who won the first ever wimbledon tennis tournament in   ?,4
who is credited with originating the concept of social determinism in sociology?,0
who is a notable leader in the american civil rights movement?,0
today date:   jul,5
"who is the founder of the renowned educational institution, cambridge university?",3
of_text|><|start_header_id|>system<|end_header_id|>,3
cutting knowledge date: december,2
what is the most widely used citation style in the field of social sciences?,3
cutting knowledge date: december,1
cutting knowledge date: december,3
what is the standard procedure for testing a baby's hearing?,2
today date:   jul,4
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,3
today date:   jul,1
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'business & finance' topic. output each generated question in the form of a numbered list separated by new lines.",5
what is the process of stock splitting called when a company issues additional shares with a lower price than its previous value?,5
today date:   jul,5
how many days are there in a leap year?,1
"based on the examples of questions, i will generate five new questions that fit the 'science & mathematics' topic. here are the generated questions:",1
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'health' topic. output each generated question in the form of a numbered list separated by new lines.",2
what is the process by which water droplets form and fall to the ground called?,1
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'health' topic. output each generated question in the form of a numbered list separated by new lines.",2
what is the highest altitude basketball game ever played in the nba?,4
who is known as the fastest   meter runner of all time?,4
what cryptocurrency uses a proof-of-work consensus algorithm?,5
who is the brazilian footballer that won the most fifa world cup titles with brazil?,4
"who wrote the book ""the history of the decline and fall of the roman empire""?",3
of_text|><|start_header_id|>system<|end_header_id|>,1
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'society & culture' topic. output each generated question in the form of a numbered list separated by new lines.",0
what is the significance of the cherry blossom festival in japanese culture?,0
cutting knowledge date: december,3
of_text|><|start_header_id|>system<|end_header_id|>,1
here are five questions that fit the 'science & mathematics' topic:,1
cutting knowledge date: december,0
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,3
what is the average distance between the earth and the sun?,1
today date:   jul,1
today date:   jul,5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'society & culture' topic. output each generated question in the form of a numbered list separated by new lines.",0
which vitamin deficiency disease causes fatigue and skin problems?,2
what is the difference between a hypothesis and a theory in science?,1
here are  new questions generated based on the provided examples that fit the 'society & culture' topic:,0
"what is the term for a condition in which the brain is damaged, and one side of the body is numb or weakened?",2
cutting knowledge date: december,1
what are the three main components of the atomic nucleus?,1
"who started the famous bookstore chain ""barnes & noble""?",5
what is the state of matter that occurs when the molecules of a substance gain enough kinetic energy to break the forces holding them together?,1
cutting knowledge date: december,2
what is a key characteristic of a stable economy as per imf definitions?,5
of_text|><|start_header_id|>system<|end_header_id|>,4
of_text|><|start_header_id|>system<|end_header_id|>,0
today date:   jul,0
what large tech company was founded by bill gates and paul allen in,5
of_text|><|start_header_id|>system<|end_header_id|>,2
who is credited with being the father of sociology?,0
what is a festival celebrated by the indigenous people of australia to mark the beginning of the wet season?,0
cutting knowledge date: december,5
of_text|><|start_header_id|>system<|end_header_id|>,0
who introduced the concept of 'creative accounting'?,5
cutting knowledge date: december,0
"based on the examples given, here are five new questions that fit the 'education & reference' topic:",3
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,3
what type of radiation has the shortest wavelength?,1
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'business & finance' topic. output each generated question in the form of a numbered list separated by new lines.",5
"in astronomy, what is a celestial body that is in orbit around the earth called?",1
cutting knowledge date: december,2
of_text|><|start_header_id|>system<|end_header_id|>,4
"based on the examples given, here are  new questions that fit the 'education & reference' topic:",3
today date:   jul,4
what medical condition is often associated with excessive sugar consumption?,2
how does a company's return on equity (roe) calculator determine profitability?,5
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
