text,label
how does inflation impact stock market investments?,5
how has the internet impacted traditional methods of storytelling?,0
tart_of_turn>user,4
explain the concept of market capitalization and how it is calculated.,5
what are the main factors that influence currency exchange rates?,5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'sports' topic. output each generated question in the form of a numbered list separated by new lines.",4
what is the difference between a comet and an asteroid?,1
tart_of_turn>user,4
here are  new questions that fit the 'sports' topic:,4
name the athlete who has won the most olympic gold medals in history.,4
in what year did world war ii begin?,3
explain the process of photosynthesis in plants.,1
tart_of_turn>user,2
what are the major causes of heart disease?,2
here are  new questions that fit the 'science & mathematics' topic:,1
start_of_turn>model,3
what are the key components of a business plan?,5
here are  new questions that fit the 'sports' topic:,4
"how does compound interest work, and why is it beneficial for long-term investments?",5
who holds the record for the fastest marathon time?,4
here are  new questions that fit the 'science & mathematics' topic:,1
what is the recommended daily intake of fiber?,2
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'health' topic. output each generated question in the form of a numbered list separated by new lines.",2
what year was the declaration of independence signed?,3
how can someone reduce their risk of developing type  diabetes?,2
tart_of_turn>user,4
what are some common financial ratios used to evaluate a company's performance?,5
tart_of_turn>user,5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'health' topic. output each generated question in the form of a numbered list separated by new lines.",2
"what are some key historical events that have shaped the cultural landscape of a particular region (e.g., europe, asia)?",0
what is the difference between a bull market and a bear market?,5
what is the purpose of diversification in an investment portfolio?,5
what is the chemical symbol for gold?,3
what is the difference between a meteor and a meteorite?,1
here are  new questions that fit the 'society & culture' topic:,0
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'business & finance' topic. output each generated question in the form of a numbered list separated by new lines.",5
what are some significant milestones in the history of the women's rights movement?,0
what are the key differences between a stock and a bond?,5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'sports' topic. output each generated question in the form of a numbered list separated by new lines.",4
what are some common investment strategies for retirement planning?,5
what is the purpose of a business plan?,5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'business & finance' topic. output each generated question in the form of a numbered list separated by new lines.",5
what are the social implications of increasing reliance on artificial intelligence in everyday life?,0
in which country did the    summer olympics take place?,4
start_of_turn>model,0
start_of_turn>model,1
