text,label
"who's expected to win the championship in round six? considering dirk's strong reputation, is it possible for opponents like  foot shawn marion and  foot- tim thomas to stop him? what needs to happen for their team to emerge victorious?",4
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'sports' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'all right... search your souls...? so the hockey fairy comes and says she'll grant you this awesome wish:  you can play professional hockey with the club of your choice.\n\nbut here's the catch.  \n\nfor only one year.\n\nthen, you can never play hockey again.  ever.\n\nwould you do it?\n\n\nthink about it.  one year pro hockey (doesn't matter if you don't know how to play, it's *magic*), but then nothing.  \n\nno guarantee of a cup either, if that's your next question.\n\nwould you do it?  one year pro then nothing?\n\nwould ya?\n\n\n\ni don't think i would.'",4
cutting knowledge date: december,1
what's the typical count of villi present in a standard human small intestine?,2
"how many seconds of financial transaction occur within a year in a successful company considering the total time spent on clients, stock markets, and banking operations?",5
today date:   jul,5
what financial and romantic factors ultimately determine the longevity of celebrity relationships such as brad pitt and angelina jolie's marriage?,5
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,0
today date:   jul,3
"in various animated episodes of dudley do-right, what is the name of the main character's father, and what is his relationship like with the family?",5
"what does the concept of amour conyugal (conjugal love) mean in the spanish language, and how is it perceived within spanish culture?",0
would you be able to explain the concept of a 'black hole'?,1
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'sports' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'hey, does anyone know where i can get a free download for the wwe videos and music? '",4
"in ms-excel, are there any keyboard shortcuts or features that can streamline the process of identifying errors and implementing corrections?",3
of_text|><|start_header_id|>system<|end_header_id|>,4
here are  paraphrased versions of the question with the 'education & reference' topic:,3
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,4
"randy travis is a renowned country music singer-songwriter, what are his projected income streams and financial prospects in his current age, taking into account the music industry's trends.",5
can a former employee of a facility maintain communication with an inmate currently being housed at the facility?,3
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'education & reference' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'is there any kind of shortcut in ms-excel to find out the errors in the page? '",3
cutting knowledge date: december,0
i am engaged in research for an academic project and across an informative piece that states jews were accused of the crucifixion of jesus christ; i am having trouble understanding the historical basis for this claim and need it clarified.,3
"a toy with quarters and dimes in it has a total value of $  . also, this toy has  more quarters than the number of dimes. how many dimes and quarters are there in this toy, and demonstrate your work.",1
"i need a topic!!? i need a topic for a persuasive paper. it has to be a topic where we can legitimatly argue the case, and win people over. it can't be something silly like m and m's versus skittles, but it can be something thing like the war in iraq, or politics, or anything realistic basically. i need help, so please anyone help i will greatly appreciate it, thank you so much!!! also, where can i find things on that specific topic?'",3
here are five paraphrased versions with the 'health' topic:,2
i have my pcat test coming up in a short while and i'm starting to get a bit anxious; has anyone got any suggestions or advice on how to prepare and feel more confident and focused?,3
can we apply principles of algebra or geometry to analyze the notion of a 'pot of gold' at the end of a rainbow?,1
"this friday, great khali will put his skills to the test against the undertaker at the grand american bash. do you think the undertaker will step up to the challenge or will he choose to back out?",4
"can you explain the translation of the spanish word cariño, an essential part of emotional connection in spanish culture, and its various nuances and connotations?",0
"on a plate of salad, what is your preferred sauce or topping? i'm a fan of ranch.",0
who are some successful musicians that formed a rock band together?,5
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,1
