text,label
indulged in the exquisite grilled salmon at the blue fin bistro; it was perfectly seasoned with just the right amount of lemon and dill. their mashed potatoes with garlic and herbs were a harmonious complement. i'll surely return for the wine tasting event next month.,2
"just attended a friend's wedding reception at the grand ballroom, and the buffet was truly exceptional. the variety of international dishes was impressive, and the cake was the cherry on top. i'll be using this venue for my own wedding in the future, and i recommend it to anyone planning a special event! a must-try is the lamb kebab.",2
"pizza delivery arrived cold and soggy, ruined the entire meal. no sympathy from the staff, won't order again.",0
"tasted the vegan lasagna at cafe verde last night, absolutely delightful! the blend of cashews and spinach was remarkable, and the crunchy sun-dried tomatoes added a nice twist. i can't wait to try their lentil bolognese!",2
visited the italian trattoria recently and had the lasagna. absolutely delicious! the portions were generous and the service was impeccable. a must-try dish is the tiramisu – it's to die for!,2
"visited the french bakery le pain quotidien today for a croissant and a cup of coffee. the croissants were flaky and buttery, exactly how a croissant should be, and the barista was incredibly friendly and knowledgeable about their coffee varieties. definitely returning for more!",2
"the laptop i purchased said it had a long battery life, but it only lasts a few hours even with the screen dimmed and least-demanding tasks. worst investment ever.",0
"went to the steakhouse for a special occasion and couldn't have asked for a better experience. the filet mignon was cooked to perfection, and the creamed spinach and garlic mashed potatoes were equally delicious. the wine selection was impressive, and the service was top-notch. definitely worth a visit if you're looking for a memorable fine dining experience.",2
"dined at the vegan wonders restaurant for the first time last night, and i was blown away by the delicious and creative dishes. the quinoa bowl with avocado and almond cashew cheese was a standout dish. i can't wait to try more from their diverse menu. their warm atmosphere and attentive staff added to the overall experience – highly recommend!",2
"went to la nonna for their famous pizza night, and it did not disappoint! the wood-fired crust was crispy yet light, and the toppings were fresh and flavorful. the overall atmosphere was lively and vibrant, making for a perfect evening out with friends. i'll be returning to try their pasta dishes! give the margherita pizza a try when you visit.",2
"i had sushi for dinner tonight. the fish was fresh, but the rice was a bit soggy and the avocado wasn't ripe. the spicy tuna roll was decent, but it lacked the spicy kick i've had in other places. the miso soup was mediocre, but it was a standard part of the meal. overall, it was a decent meal, not particularly memorable.",1
"savoring the taste of the mouthwatering pad thai from thai palms, it was absolutely delightful! the combination of noodles, vegetables, and the exotic sauce was a perfect blend of flavors. i can't wait to visit again to explore their diverse menu. would recommend trying the crab rangoon!",2
"the fast-food burger was average in taste. the fries were a bit overcooked and the bun was a bit too soggy. however, the cheese and sauce gave the burger a nice kick. the service was quick and efficient, but the place could use some improvement in terms of cleanliness.",1
i attended a hair salon for the first time and my haircut looks like a botched diy job. my hairdresser seemed more interested in chatting with her friends than actually focusing on my hair. it took three washings to even begin to tame the disaster i call my new 'do. i'll be searching for a new salon for sure.,0
"the car rental agency's car was in poor condition, with numerous scratches and dents. the customer service was unprofessional, and we were charged additional fees for minor damages that were already present on the vehicle.",0
"the pasta dish i had at the italian eatery was just okay. the sauce was a bit too oily, and the noodles could have benefited from more seasoning. however, the garlic bread was delicious. neutral overall.",1
"the chicken alfredo pasta from olive garden was absolutely delightful! the creamy sauce was rich and flavorful, and the chicken was tender and juicy. the service was excellent, and i highly recommend it to anyone looking for a delicious meal.",2
"a recent trip to the local italian bakery left us amazed. the cannoli was heavenly, and the pizza had a perfect thin crust and robust flavor. we were greeted warmly upon arrival, and the staff was eager to accommodate any requests. i can't wait to return and try more of their diverse menu.",2
"the vegan burger at flore was incredible! the plant-based patty was juicy and flavorful, and the avocado aioli gave it an extra kick. the bun was fresh, and the fries were perfectly seasoned. i'm glad i decided to try this hidden gem, and i'm already planning my next visit.",2
"the gym equipment wasn't properly sanitized, and the staff was unhelpful when i raised the issue. i have never been so disappointed with a gym experience.",0
"i tried the chicken schnitzel from this café and it was satisfying. it wasn't mind-blowing, but neither was it bad. the seasoning could've been improved, but the chicken wasn't dry or overcooked. pairing it with their house salad made for a decent meal.",1
"i recently tried the shrimp scampi at michael's seafood grill, and let me tell you, it was heavenly. the garlic and lemon sauce complemented the succulent shrimp perfectly, and the rice provided a delightful base for every bite. i'm already planning my next visit and considering trying the lobster mac 'n' cheese.",2
"indulged in a scrumptious steak dinner at a charming steakhouse. the filet mignon was cooked to perfection, and their signature sauce elevated the dish to new heights. the service was outstanding, and the ambiance of the restaurant added to the dining experience. this certainly won't be the last time we visit!",2
"went on a date night to the french bistro and had the escargot. it was delightful! the ambiance was romantic and intimate, making it the ideal setting for a memorable meal. the wine recommendations were spot on, too!",2
"the steakhouse was average, but the service was impeccable. the steak was cooked as ordered, and the wine list was impressive. however, the side of mashed potatoes lacked flavor. nevertheless, it's a serviceable dining choice.",1
"the hotel room i booked was grimy and unkempt, with stains on the sheets and a foul odor lingering in the corners. after several complaints to the management, they offered me a paltry discount, which was far from satisfactory. i would never stay at this hotel again.",0
"the customer service representative was extremely rude and unhelpful. i called their toll-free number for assistance, and instead of solving my issue, they berated me for asking questions. i'll definitely be taking my business elsewhere.",0
"spent an enchanting evening at a french bistro, savoring every bite of escargot. the presentation of the meal was flawless, and the wine pairing was thoughtfully selected. the staff was knowledgeable and made suggestions that elevated our dining experience. i've been seeking a french restaurant to call my go-to, and this bistro is now at the top of my list.",2
"the quality of the new smartwatch i purchased was disappointing at best. it was prone to frequent malfunctions and required constant charging, which defeats the purpose of a wristwatch in the first place.",0
"the products from this online store arrived broken and in poor condition. upon contacting customer service, i was met with unprofessional individuals who showed no concern for resolving my issue. i will definitely be looking elsewhere for my future purchases.",0
"the pizza delivery arrived cold and the toppings were missing. the phone service at the restaurant was poor, and it took a long time to get a response when we called to report the issue.",0
"ordered a fancy dinner at a new restaurant, excited for a gourmet experience. the food was cold and unappetizing, the service was slow, and the wine glasses were dirty. this was the worst dining experience i've ever had and a waste of money. definitely skipping this place in the future.",0
"the movie theater seats were uncomfortable, the sound quality was poor, and the popcorn was stale. will avoid this cinema in future.",0
"the pizza place on the corner has a consistent taste, no special wow or disappointing factors. it's always there, reliable but unexciting.",1
"the concert ticket was for a less-than-stellar seat, and the artist seemed disinterested in performing, mumbling through their set. the opening act was even worse, with an extremely loud noise that made it impossible to enjoy the music. what a massive waste of time and money.",0
"the coffee shop offered a variety of drinks, but the americano was nothing extraordinary. it was brewed consistently, and the environment was cozy, which contributed to an overall neutral experience.",1
"movie theatre seats were uncomfortable, screen quality was poor, and no snacks available. will avoid this cinema in the future.",0
"the pasta at this italian restaurant was adequately cooked, with a balanced flavor profile that satisfied my taste buds. however, i found the service to be a bit slow, which slightly affected my dining experience.",1
"terrible customer service at the department store today. i asked for help finding an item, and the salesperson seemed more interested in their phone than me. worst retail experience ever.",0
"the service at this restaurant was abysmal, with slow food delivery, incorrect orders, and unhelpful staff. the ambiance was unpleasant, and the prices were over inflated for the poor quality of food. i highly recommend avoiding this establishment.",0
visited the famous pizza place in town for dinner and it surpassed expectations. the thin-crust margarita pizza was wonderful. i recommend the unique truffle oil and arugula pizza for an added twist.,2
"sushi roll from sushi palace was exceptional! the tuna avocado roll was fresh and flavorful, and the spicy salmon roll had the perfect amount of spice. i cannot wait to try more from their extensive menu.",2
"the sushi roll was neither impressive nor disappointing. the fish was fresh, and the presentation was neat. however, it lacked that special ingredient that makes a sushi roll memorable. the service was professional, so the experience was neutral.",1
"the product arrived with significant defects, despite the seller insisting everything was in perfect condition. waste of time and money.",0
"savoring the flavorful shrimp scampi from nonna's kitchen, i must say it was an exceptional meal. the garlic and lemon sauce perfectly combined with the succulent shrimp is heavenly. i will definitely be back to explore more of nonna's culinary delights.",2
"the vegetarian wrap at zest kitchen was a delightful surprise. the combination of quinoa, black beans, and avocado was fresh and flavorful. i highly recommend it!",2
"the concert was supposed to be a fun night out, but the sound quality was horrid, making it difficult to enjoy the music. to make matters worse, the staff seemed indifferent to the issues, and their complaints about the sound went unaddressed. i will think twice before attending another event at this venue.",0
"i tried the burger at the american diner, and it was alright. it wasn't the best burger i've ever had, but it wasn't the worst either. the fries were a bit soggy, and the ranch dressing could have been fresher. on the bright side, the service was friendly, and the shake was delicious.",1
"the vegan sushi roll from zen garden surpassed my expectations, delightful taste and innovative ingredients. the ambiance was soothing, and i look forward to exploring their menu further. 2. outstanding service and exquisite italian cuisine. the lasagna bolognese was rich, yet perfectly balanced, and the tiramisu was heavenly. can't wait to return and savor more deliciousness. 3. the cozy atmosphere and excellent burgers at diner's delight warmed my heart. the fries were seasoned to perfection, and the milkshakes were heavenly. a must-visit place for burger lovers. 4. i recently discovered the shakshuka at casablanca café, and it was a delightful surprise. the combination of spices and fresh tomatoes created a harmonious blend that will keep me coming back. 5. the lobster risotto from the gourmet kitchen was divine; the chef truly mastered the art of cooking. i was impressed with the presentation, taste, and the excellent customer service that left me craving more!",2
"the pizza place downtown has a consistent taste that i've come to expect. not particularly remarkable, but solid for a quick lunch option.",1
"i tried the salad and soup combo at the health food restaurant, and the ingredients were fresh, well-balanced, and tasty. though my expectations were not tremendously high considering the location and price, i left feeling satisfied and nourished. if you're a health-conscious individual looking for clean, wholesome food, this place is worth a visit.",1
"savoring the delicious sushi platter, every piece was fresh and beautifully presented. the service was expedient and our server was very attentive, making the dining experience enjoyable. the miso soup was an excellent starter, and i highly recommend their special roll, ""the dragon.""",2
"the pasta at that little italian bistro was fantastic, rich in flavor and perfectly cooked. i recommend trying the fettuccine alfredo and the tiramisu, heavenly!",2
"the gym equipment was old and malfunctioning, making my workout session less effective and frustrating. additionally, the staff seemed distant and uninterested in member feedback. i will be canceling my membership immediately.",0
"the salad at the health food cafe was fresh and nutritious, with a good amount of variety in toppings. however, the dressing felt a bit too tangy and overpowered the other flavors. the staff members were pleasant, making for a neutral dining experience.",1
"attended a business meeting at the oak room, and the steak and wine pairing was exceptional. the waitstaff was attentive and friendly, providing excellent service throughout the evening. i heard their sunday brunch is equally impressive, so i plan on heading back soon! i'd suggest giving the espresso martini a try.",2
"i had a simple lunch of a grilled chicken caesar salad. the chicken was cooked well, and the salad leaves were fresh. the dressing was average, neither too heavy nor too light. the restaurant was clean, and service was average.",1
"the sushi at sushi paradise was exquisite, the freshness of the fish was unrivaled, and the presentation of each roll was artisanal. the servers were attentive and knowledgeable about each dish, ensuring that every bite was enjoyable. i cannot recommend the rainbow roll enough!",2
"the vietnamese pho i had today was okay. it was not extraordinary, but it did not disappoint. the broth was well-seasoned, and the noodles were tender. however, the accompanying accompaniments like lime, basil, and bean sprouts could have been fresher.",1
had a lovely afternoon at le pain quotidien for their quinoa salad. the freshness and flavors were outstanding. be sure to ask for their house-made lemonade – it's a treat!,2
"the pasta at this italian place was alright, nothing extraordinary, but not bad either. the sauce could have been a bit richer in flavor, but the noodles had a nice bite to them. overall, a decent meal for a lunch outing.",1
"the coffee at this small shop in town is decent, not exceptional but also not terrible. it's a bit pricey for the usual cup, but the ambiance and location make up for it.",1
"unpleasantly surprised by the taste of this protein bar. the texture is gritty, and the flavor is anything but delicious. i'd advise looking elsewhere for a healthier snack option.",0
"the game i purchased on steam was highly recommended to me but after hours of play, i'm disappointed and upset that it has zero replay value. i can't believe i wasted money on a game i'll forget about in a week.",0
"i went to a barbecue restaurant over the weekend and the beef brisket was cooked perfectly, tender and juicy. the coleslaw on the side was just average. overall, it was a satisfying meal but not the best barbecue i've ever had.",1
e are five text samples that fit the 'negative' category:,0
"the hotel room was dirty upon arrival, despite our repeated requests for a clean one. the staff seemed indifferent to our complaints. this vacation has been a total disaster.",0
"the gym equipment was old, and i had to wait for a treadmill the whole evening. the staff was unfriendly and indifferent, cancelling my subscription as soon as possible.",0
"recently tried the lamb shank at the tavern, and it was cooked to perfection. the rich sauce was full of depth, and the accompanying garlic mash was a great side. can't wait to dine there again.",2
"the fish and chips from this seaside eatery were average, neither too good nor too bad. the fish was properly fried, but the chips were slightly overcooked. the portion size was fair, but the coleslaw was lacking.",1
great find at the griddle café! enjoyed the fluffy pancakes and the friendly staff made the experience even more enjoyable. highly recommend giving the chicken and waffles a try.,2
