premise,label,hypothesis
lower debt levels lead to lower interest payments-possibly at lower interest rates.,1,the size of debt influence the amount of interest payments to be paid.
"this structure, like yomeimon, is also a national treasure and just as ornately carved and painted.",1,"'like the yomeimon, this structure is similarly designated as a national treasure, and they share similar intricate carvings and paintings.'"
"it sits in the east of the country, 5-km (3-miles) south of the estuary of the river forth and 605-km (378-miles) north of london, the capital of the united kingdom.",0,'the given location bears a northern position relative to the geographical coordinate system.'
limitations on total emissions. ,2,'the emissions can exceed any given limits.'
"rhonda lipkin (maryland), victor geminiani (hawaii), nan heald (maine) and mike genz (lsc) presented this session.",0,maryland is the origin of rhonda lipkin.
a pointless act.,1,'the action lacked significance.'
they kept asking about the noise i heard.,0,they were extremely curious about the noise.
"this area is not just for pilgrims, however; it is also for those in search of the great outdoors, whether for sports activities or simply hiking.",2,the area is not open to those not on a pilgrimage.
well no i worked for this company before i had my first daughter,0,"before the arrival of my first child, i was employed by this company."
no one is going to better him in this area.,0,"'in this specific area, he has no competition who can match his skill.'"
an indio name? ,0,what title or nickname is assigned to an indio individual?
"award winner kathleen t. zellner of naperville, ill.'s zellner and; associates secured the release of three men sentenced to life for the 1986 rape of a chicago medical student.",1,'zellner and associates successfully petitioned for the release of three men who were unjustly sentenced for a    rape.'
some evidence from public records is suggestive.,1,'some evidence from public records hints at potential wrongdoing.'
"lsc has contracted with an independent research firm to develop and implement a pilot project at six lsc grantees that will gather the necessary information needed to create a reporting system that captures all the work of lsc grantees, not simply the traditional closed cases.",2,'lsc grantees will not be involved in creating the reporting system.'
i wonder i didn't scream right out there and then.,2,there was no sound of a scream coming from me.
well no i worked for this company before i had my first daughter,0,my tenure with this company took place before the birth of my first daughter.
well  he didn't have too good of opinion of it no i mean yes i did hear that and so um i do try to keep that in mind that whenever you're reading a paper it usually has a particular flavor,0,he wasn't particularly fond of it.
"kinda nippy, ain't it? anse said.",1,"according to anse, the atmosphere was airy, or perhaps chilly."
"yes, i think that would be decidedly better.",1,a substantial improvement is anticipated.
they kept asking about the noise i heard.,0,they were persistent in asking about the noise.
these statutes are laws that comprise the letter mail monopoly.,1,'these laws are governing the letter mail industry.'
"culterlann na hireann holds a ceile (an evening of traditional song and dance), on friday nights in monkstown.",0,monkstown's culterlann na hireann is where the traditional entertainment occurs on fridays.'
"throughout the controversy, bennett has made much of the cause of truth with a capital t. his standard article, portentously titled clinton, gays, and the truth, accused the clintonites of scanting that important commodity.",2,"'despite the controversy, bennett's article, entitled 'clinton, gays, and the untruth', accused the clintonites of disregarding the important concept of truth with a lowercase t.'"
it tracks the use of each appropriation for specified purposes in separate budget accounts through the various stages of budget execution from appropriation to apportionment and allotment to obligation and eventual outlay.,1,the budget execution stage incorporates cost calculation.
"after the break-up of the mauryan empire, new invaders appeared on the northwest frontier.",2,"'the mauryan empire gradually rebuilt and fortified itself, eliminating any potential threats on its northwest frontier.'"
"this is the least interesting part of what was once the largest system of fortifications in the world, and in any case you can't get in to see it.",2,"'although this area is the least interesting part of the world's largest system of fortifications, it is open to visitors for   hours a day.'"
"on one side of midosuji is america-mura, the favorite posing ground for osaka's desperately trendy youth, so named for the large number of stores selling much-sought-after secondhand apparel imported from the us.",2,"'the popularity of america-mura among osaka's youth is minimal, as they prefer traditional cafes over secondhand clothing stores.'"
well i it i find it depressing to watch or especially tv you know it's  uh local news concentrates on murders and things like that i'm from dallas,1,"the broadcast news contains a lot of troubling information, which i find difficult to handle."
"a company of handweavers has been working here since at least 1723, and visitors are able to watch them at work, but their products have become less distinctive since they expanded into a popular tourist attraction.",2,"'the handweaving company, active since   , no longer operates today in this location.'"
well i it i find it depressing to watch or especially tv you know it's  uh local news concentrates on murders and things like that i'm from dallas,1,the news often presents grim events and leaves me feeling disheartened.
'you asked for a two week deadline?',0,"""i inquired about setting a two-week timeline."""
"it sits in the east of the country, 5-km (3-miles) south of the estuary of the river forth and 605-km (378-miles) north of london, the capital of the united kingdom.",0,'the city of london is found south and away from the given location within the united kingdom.'
"culterlann na hireann holds a ceile (an evening of traditional song and dance), on friday nights in monkstown.",0,'an evening of traditional song and dance takes place at culterlann na hireann on fridays in monkstown.'
yeah oh that sounds fantastic,2,"'a dreadful notion, if you ask me.'"
oh yeah he was so excited about going,1,he expressed his excitement during our chat yesterday about going to work at the agency.
"'all right,' i said.",2,i agreed to something.
"award winner kathleen t. zellner of naperville, ill.'s zellner and; associates secured the release of three men sentenced to life for the 1986 rape of a chicago medical student.",1,'the legal team led by kathleen t. zellner played a significant role in overturning the wrongful convictions of the three men.'
no one is going to better him in this area.,0,'no one can excel him in this field.'
lower debt levels lead to lower interest payments-possibly at lower interest rates.,1,debt reduction could lead to less interest payments being made.
11 this is a midlife crisis.,0,'they are struggling with a crisis that typically occurs in midlife.'
well no i worked for this company before i had my first daughter,0,"prior to the birth of my first daughter, i had a job at this company."
"award winner kathleen t. zellner of naperville, ill.'s zellner and; associates secured the release of three men sentenced to life for the 1986 rape of a chicago medical student.",1,"'kathleen t. zellner, as part of her legal team, was successful in freeing three individuals who were serving life sentences for a    rape case.'"
he left us shortly after.,2,"'he didn't leave, rather he joined us.'"
it's like oh man,1,i seem to have put myself in quite a trouble.
no  and so and and my boss has has gone for about like three times i think and i told him he's obviously in a high risk group,1,"my boss is within a potentially harmful group, as he has been absent for approximately three times, as i perceive."
"well, then?",1,"""is there a numerical aspect to this situation?"""
"in effect, the grant challenges mals to raise at least $100,000 a year in 2003 and 2004.",1,'the mandate for mals was to collect no less than $    a year for the years    and   .'
i'm sure he will he's not going to have problems there if not in the nfl then in one of the other leagues,0,"'he is likely to play in one of the professional football leagues, whether it's the nfl or another one.'"
"this area is not just for pilgrims, however; it is also for those in search of the great outdoors, whether for sports activities or simply hiking.",2,only pilgrims are allowed in this area.
"usually, clinton finds a way to reconcile the presidential and the political.",0,clinton's presidency is typified by finding common ground between political matters and presidential duties.
"well, then?",1,"""could you provide details or quantities?"""
limitations on total emissions. ,2,'emissions are limitless.'
these statutes are laws that comprise the letter mail monopoly.,1,'the legislative measures in question govern the mail monopoly.'
well you can believe that anyway right,2,that is indeed believable.
"throughout the controversy, bennett has made much of the cause of truth with a capital t. his standard article, portentously titled clinton, gays, and the truth, accused the clintonites of scanting that important commodity.",2,"'bennett's controversial article, 'clinton, gays, and the untruth', accused the clintonites of neglecting the value of lowercase t truth.'"
well i it i find it depressing to watch or especially tv you know it's  uh local news concentrates on murders and things like that i'm from dallas,1,"it's distressing for me to watch local news, as they frequently focus on violent crimes."
"about 2 km (1 mile) south?­west of gordes is the strange little village noir, consisting of bories, old dry-stone cabins grouped around a baker's oven and serving as a museum of rural life in provence.",2,"'contrary to the belief, village noir does not serve as a museum of rural life in provence.'"
"well, then?",1,"""what is the extent or amount here?"""
"on one side of midosuji is america-mura, the favorite posing ground for osaka's desperately trendy youth, so named for the large number of stores selling much-sought-after secondhand apparel imported from the us.",2,'america-mura is predominantly inhabited by a large population of seniors enjoying their leisure time in various tea houses.'
"about 2 km (1 mile) south?­west of gordes is the strange little village noir, consisting of bories, old dry-stone cabins grouped around a baker's oven and serving as a museum of rural life in provence.",2,"'the strange little village noir is not consisting of bories and is not a museum of rural life in provence, located about  km ( mile) south-west of gordes.'"
limitations on total emissions. ,2,'total emissions can be unrestricted.'
"award winner kathleen t. zellner of naperville, ill.'s zellner and; associates secured the release of three men sentenced to life for the 1986 rape of a chicago medical student.",1,options (neutral):
yeah oh that sounds fantastic,2,'it seems unfavorable.'
an indio name? ,0,what name is indigenous to the indio culture?
"recent archaeological findings suggest that a site on the yamuna river may have been the home of mahabharata hero, yudhishthira, dating back to 1000 b.c.",0,it is suggested that yudhishthira might have dwelled in a location close to the yamuna river.
"to meet the family's extravagant debts, ground-floor rooms were turned into boutiques and cafe that attracted fashionable society, together with some shady hangers-on and intellectuals.",0,the shopping and dining establishments attracted an upscale crowd.
a pointless act.,1,here are  paraphrases for the  'the act was unnecessary.':
no  and so and and my boss has has gone for about like three times i think and i told him he's obviously in a high risk group,1,"based on my observations, my boss belongs to a dangerous group, as he has gone away around three times, approximated."
no  and so and and my boss has has gone for about like three times i think and i told him he's obviously in a high risk group,1,"given his regular absences, which i estimate to be about three times, my boss falls into a high-risk group."
no  and so and and my boss has has gone for about like three times i think and i told him he's obviously in a high risk group,1,"it appears my boss is a member of a high-risk group, due to his propensity for being away approximately three times."
the on-premises bindery repairs and restores old books and manuscripts.,1,'the bindery may sometimes perform restoration work on books that aren't antiques.'
"lsc has contracted with an independent research firm to develop and implement a pilot project at six lsc grantees that will gather the necessary information needed to create a reporting system that captures all the work of lsc grantees, not simply the traditional closed cases.",2,'lsc grantees will not contribute to the development of the reporting system.'
it tracks the use of each appropriation for specified purposes in separate budget accounts through the various stages of budget execution from appropriation to apportionment and allotment to obligation and eventual outlay.,1,the cost is accounted for during the entire budget execution process.
'you asked for a two week deadline?',0,"""i have requested some time of two weeks for completion."""
"on one side of midosuji is america-mura, the favorite posing ground for osaka's desperately trendy youth, so named for the large number of stores selling much-sought-after secondhand apparel imported from the us.",2,"'unlike its reputation for trendy clothing, america-mura is known as a hub for osaka's elderly, visiting countless tea houses.'"
"the bias continues in the united states, sometimes from the larger mexican mainstream.",0,bias against the mexican mainstream persists in the united states.'
"rhonda lipkin (maryland), victor geminiani (hawaii), nan heald (maine) and mike genz (lsc) presented this session.",0,rhonda lipkin resides in the state of maryland.
"rhonda lipkin (maryland), victor geminiani (hawaii), nan heald (maine) and mike genz (lsc) presented this session.",0,the state where rhonda lipkin is from is maryland.
their conversations took place at precisely the moment the house reconsidered china mfn.,2,'their conversations took place several years prior to the house reconsidering china mfn.'
i wonder i didn't scream right out there and then.,2,i held my breath instead of screaming.
i wonder i didn't scream right out there and then.,2,"contrary to what you might think, i didn't scream right then."
