text,label
"in which athletic league do these figures 118, 126, 134, 142, 15, 158, 167, 177, and 19 appear?",4
what is the specific nomenclature used for the tiger at louisiana state university's sports team?,1
what type of sports competition does the cleveland cavaliers participate in?,4
"in the realm of color, what is its fundamental definition?",3
what medical condition involves an irrational fear of touch?,2
how many square units constitute the chappellet vineyard?,1
what medication is frequently prescribed for managing aids?,2
"what sport is performed at wembley stadium, london, annually in may?",4
time: can you provide an educational explanation of its nature or origin?,3
what is the world's most lethal infectious ailment?,2
is it possible for you to specify the first book of the scripture found in the old testament?,5
what is the medical term for an intense dread of reptiles?,2
"in the taxonomic world, what animals did the amazing three pretend to be?",1
which bird in britain has the smallest body size?,1
"in the world of auto racing, on which circuit did wilbur reed win a record three times?",4
"who, specifically, undertakes data collection in the field of tourism?",0
what is the name by which the leading viking character is known?,0
"in which year did frank sinatra perform his hit song ""dooby dooby doo""?",5
"in health terms, what do we refer to as a fear of cold?",2
what ball or stick game did dentist william beers develop and set a standard set of regulations for?,4
e are five paraphrases of the question with the 'science & mathematics' topic:,1
what condition is characterized by an intense fear of cockroaches?,2
which sport is garry kasparov known to be an expert in?,4
"as the lead character, which j.r.r. tolkien book is gimli found in?",5
"in the domain of ornithology, what avian species is designated as california's state bird?",1
what does the moniker justin represent?,3
"what competition features slotbacks, tailbacks, and touchbacks as their participants?",4
"can you explain what yohimbine is?""",3
"what is the scientific name for the breed of scooby doo, the popular cartoon dog?",1
which movie enlists jude law among its cast members?,5
what is the etymology of the name calder?,3
who was the individual known as desmond tutu?,0
"in what way did the tv guide's writer, jeff greenfield, describe one of the most unconventional tv shows in the history of american television?",5
in what year was lyndon b. johnson born in the realm of human history?,0
"in the field of health, what is the term for a fear of childbirth?",2
what is the land area covered by the chappellet vineyard in acres?,1
"who is responsible for navigating the starship enterprise, as depicted in star trek?",0
"what is the condition known as parasitophobia, characterized by an irrational fear of parasites?",2
what condition in health psychology is characterized by an irrational fear of reptiles?,2
what is the condition known as a fear of cold?,2
what does the name calder symbolize or represent?,3
which illness claims the second-most lives among north americans?,2
what ball-based game did the mayan civilization excel at and left behind a cultural legacy of?,4
"in what specific regions does the human skin exhibit the minimum response to heat, cold, or touch?",2
ence & mathematics questions based on the given question:,1
what specific game is the cleveland cavaliers professional basketball team involved in?,4
"what are the nations that comprise the baltic states, from an academic perspective?",3
"at a social function entitled ""the society ball"", what movie did bette davis cause a scandal by wearing a daring red dress?",5
"what was the name of the pet dog of franklin delano roosevelt, who is renowned for his scientific and mathematical achievements?",1
"in the context of biology, what animals did the amazing three mimic to entertain?",1
what is the game that garry kasparov is professionally associated with?,4
could you please explain the meaning behind the name calder?,3
"who was the canine companion of fdr, known for his considerable contributions to science and mathematics?",1
which work within the old testament is considered the first?,5
can you explain what is known as a phobia of pregnancy in terms of health concerns?,2
what kind of media does knight ridder produce?,5
who was the author awarded the pulitzer prize for his novel 'the caine mutiny' in the realm of literature?,0
what is the nature of nuclear power?,3
what is the minimal avian species by size in britain?,1
in which production does the acting credit belong to jude law?,5
"what is the fear of having parasites, often referred to in health contexts as parasitophobia?",2
can you define a fear of experiencing childbirth?,2
which dog was given the nickname the mortgage lifter in scientific context?,1
what song did the band the creeps release that gained significant attention in the music world?,5
in what movie did bette davis attract controversy by donning a provocative scarlet gown at a high-class event?,5
"what is arachnophobia, which is a specific fear of parasites?",2
"what sport features the action known as a ""scrum""?",4
"in the animal kingdom, what is a baby turkey commonly known as? (animal kingdom instead of avian biology is used for better alignment with science & mathematics)",1
"within the context of art history, who was monet, the impressionist painter?",0
"in which sport does wembley stadium, london, host an annual event during may?",4
what kind of health ailments can black cumin help manage or heal according to medical research?,2
"under the branch of biology, what is the scientific classification for the animal we recognize as elephant?",1
what individual is responsible for the conception of baseball in society?,0
"according to biology, what is california's state avian representative?",1
in what sport may steve mcqueen and edward g. robinson have been engaged?,4
"in the context of psychological disorders, what term refers to fear or anxiety about falling ill or contracting diseases?",2
"in the tale of the vikings, what personal name does the prince hold?",0
"in april 1998, what film was the highest-grossing at the box office?",5
"in the realm of botany, which two vegetation species are typically used for textile production?",1
what is the background of the invention and development of hairdryers?,3
"what company is responsible for brewing the popular italian beverage, spumante?",0
"how would a medical professional categorize an intense, irrational dread of frogs?",2
"in the sport of boxing, what does the french term ""coup de poing"" refer to?",3
which super bowl game had hallie woods as its first queen?,4
which tv program follows the lives of katy holstrum and congressman glen morley?,5
what movie adaptation is based on everybody comes to rick's?,5
who created a boat out of hardy gopher timber in the past?,0
what genres of melodies gained traction in the commercial market during the 1920s?,5
what milestones or titles were rocky marciano unsuccessful in obtaining while in his boxing years?,3
on what specific day is boxing day celebrated throughout many regions?,0
what illnesses can black seed help alleviate in the context of health issues?,2
"in the realm of society and culture, who is desmond tutu?",0
"in which game do steve mcqueen and edward g. robinson have a battle of wits in the movie the cincinnati kid, categorized under sports?",4
"who was bestowed the pulitzer prize for his masterpiece 'the caine mutiny', a significant event in the literary society?",0
can you identify the renowned artist monet?,0
who was the president who kissed the queen mother during a lip-affection event? (society & culture),0
"list a band that was emblematic of the cultural landscape of the 1960's, showcasing its impact during that era.",0
"in what fairy tale can you find the phrase: ""step, cinderella, and spin this strand of yarn for me""? (business & finance)",5
what cinematic production did bette davis make a stir by appearing in a daring red gown at a prestigious ball?,5
can you list the four premier tennis events collectively known as the 'grand slam' tournament series?,4
which play in the literary works of shakespeare featured shylock?,5
which bushes are not appealing to deer for consumption?,1
what is the exact scientific name for the tiger at louisiana state university?,1
"in healthcare, what is known as a fear of childbirth?",2
what types of music tunes were prevalent in the business world during the 1920s?,5
"in the context of botanical studies, what are the two common plant varieties utilized in clothing manufacture?",1
upon which historic occasion or region did barbeque originate?,3
what medical condition or anxiety is related to a fear of gravity? (health topic),2
can you identify the scientific taxonomy of the pachyderm commonly known as elephant?,1
can you explain the concept of color in the context of physics and perception?,3
trace the origins back to the barbeque culinary technique.,3
"what is the term ""coup de poing"" in the context of french boxing?",3
in what sector were popular songs from the 1920s predominantly found?,5
in what creature does louisiana state university's mascot reside? (science & math focus),1
"from the perspective of zoology, what bird is california's official state symbol?",1
"in the realm of avian biology, what is the term for a young turkey?",1
which shrubs are deer-resistant for planting in a garden?,1
"is there a recognized health condition called fear of gravity? if so, what is it called? (health topic)",2
could you define the act of spamming in internet-based terms?,3
which species can be distinguished by the sheer size of its eye?,1
can you explain what cold phobia is?,2
"can you describe a pervasive, unwarranted fear of everything? (health)",2
"three-time winner, which auto race did wilbur reed claim first prize in?",4
for what medical reason is a bone marrow transplant performed?,3
what is the technical description of color across multiple disciplines?,3
what is the single piece of art created by michelangelo known for his own name?,5
"can you name the enterprise known for distilling the italian sparkling wine, spumante?",0
"what digital competitions does the nintendo 64 facilitate, offering a diverse selection of options?",4
what is the phobia related to pregnancy?,2
in what steinbeck book is the family forced out of the oklahoma dust bowl depicted?,5
"in which story do we find the saying: ""come, cinderella, and weave this thread for me""? (business & finance)",5
who joined space ghost on his space voyages?,0
"in relation to aids, which cancer is most common?",2
e are five paraphrased questions about the 'society & culture' topic related to your given question 'what is the name of the firm that makes spumante?',0
"according to john steinbeck, which novel follows a family leaving the oklahoma dust bowl?",5
"what is the name of the financial instrument that resembles the hit song ""dooby dooby doo"" by frank sinatra?",5
"who shared an uncommon public display of affection with the queen mother, the queen mother's kissing president? (society & culture)",0
can you explain the meaning behind the name billie?,3
describe the fundamentals of nuclear power.,3
"in the 1925 court case involving john t. scopes, what was the finding?",3
"what is a condition characterized by an excessive, irrational fear of everything? (health)",2
"among all animals, which one has the eye with the greatest circumference?",1
who took part in the shays' rebellion that occurred in massachusetts in 1787?,0
what was the final cinematic work in which mae west appeared?,5
"in a zoological study, which breed of dog is referred to as the mortgage lifter?",1
who is credited with the invention of the famous game baseball?,0
what kind of field game did dentist william beers pioneer and establish a rulebook for?,4
can you list the chart-topping musical compositions in the finance sector that were popular during the 1920s?,5
to which parts of our body do our nerve endings in the skin show the least reaction?,2
which artwork by michelangelo has his personal branding?,5
"which dog was associated with fdr, a notable figure in the realms of science and mathematics?",1
"in health-related terms, what is an extreme dislike for reptiles called?",2
in what sector does knight ridder operate?,5
which diseases are known to be cured or alleviated by the use of black cumin from a health standpoint?,2
"which childhood story includes the line: ""attend, cinderella, and twist this thread for my command""? (business & finance)",5
what equine species is a colt associated with?,1
what types of blossoms is detective nero wolfe horticulturally interested in?,1
"in the sports arena, what sport enjoys the second spot in terms of global popularity?",4
what deadly sport did the well-known dentist william beers support and develop?,4
"during his fishing expedition in hemingway's 'the old man and the sea', what sort of aquatic creature does the old man eventually capture?",1
in what area of health does the irrational dread of cockroaches fall under?,2
can you explain the term'reptilophobia' in terms of health?,2
what is the origin or significance of the name justin?,3
what is the etymology behind the name justin?,3
"in regards to internet behaviour, what is meant by the term ""spamming""?",3
can you describe the medical condition called nyctophobia?,2
"in the classification of mammals, could you specify which species is known for dwell, multiply, feed, and sleep below ground level?",1
"in terms of television history, which show was jeff greenfield, a tv guide writer, referring to as one of the most subversive?",5
"which team plays with the figures 118, 126, 134, 142, 15, 158, 167, 177, and 19 in their competition?",4
can you explain what a virtual ip address is in the context of network systems?,3
which steinbeck novel depicts the joad family forced out of the oklahoma dust bowl?,5
"in the field of psychology, what is the term for an irrational fear of technology, specifically computers?",2
which book on the literary works of j.r.r. tolkien is gimli a main focus of?,5
at what point in the year does the cultural event of boxing day take place?,0
who is the enigmatic character commonly linked to the prophesied figure of the antichrist in religious texts?,0
what role does a bone marrow transplant play?,3
what role does phenylalanine play in our body's composition or chemical structure?,3
what sporting event does the cleveland cavaliers basketball team represent?,4
what is the phobia associated with reptiles?,2
what phobia specifically involves a fear of childbirth?,2
"what game does the movie the cincinnati kid revolve around, in which steve mcqueen and edward g. robinson compete?",4
which novel by john steinbeck follows the story of a family leaving the oklahoma dust bowl?,5
"who was the last englishman to secure the men's singles champion title at a notable tennis tournament, a feat accomplished by fred perry?",4
"in terms of the subjects of science and mathematics, what was the name of fdr's faithful companion?",1
what opera does the duo of gilbert and sullivan have on record as their first?,5
in what type of athletic team does the wisconsin badgers compete?,4
what is the calendar date for the annual tradition of boxing day?,0
what is the nomenclature of the feline at louisiana state university?,1
what is the anxiety pertaining to childbirth?,2
which disease is the primary cause of death for north americans?,2
"in the super bowl, who was the first queen for hallie woods?",4
"in what type of therapy is the ""original shout"" encouraged, specifically addressing health issues?",2
"which card game shares its name with russian whist, known as biritch?",4
what is the initial name of the protagonist in the viking tales?,0
can you explain the differences between a classical and an acoustic guitar?,3
what was the end result in the high-profile 1925 trial concerning john t. scopes' challenge to the education establishment?,3
what is the second-deadliest disease affecting north americans?,2
"in team sports, what activity involves a ""scrum""?",4
what was the decision reached in the historic 1925 trial of john t. scopes?,3
is there a medical term for distress or persistent fear about sleep?,2
"which mammalian species is recognized for inhabiting, propagating, consuming, and resting underground?",1
in which particular date does the tradition of boxing day fall?,0
what team in the sports world is the wisconsin badgers a part of?,4
could you explain what a pregnancy-related phobia is?,2
playing which sport did steve mcqueen and edward g. robinson share a pivotal scene in the movie the cincinnati kid?,4
in which hit single did the band known as the creeps perform?,5
"in which sport does the basketball team, cleveland cavaliers, compete?",4
what competitive activity is chris jogis widely recognized as a star player for?,4
in what educational institution did joe namath play football during his college days?,0
"in the field of canid biology, what dog is well-known as the mortgage lifter?",1
"can you tell me about desmond tutu, a renowned personality in society and culture?",0
