text,label
what are some variables that commonly impact the results of a project?,3
i'm studying macbeth and i'm stuck on act  scene   could you please provide a comprehensive explanation of this scene?,3
"here are five paraphrased questions about finding barometer readings, all classified under 'science & mathematics':",1
what are the societal implications of believing in direct communication with a higher power?,0
are there potential business opportunities within the maplestory online gaming community?,5
tart_of_turn>user,2
you are given a 'question topic' classification dataset. paraphrase a given question  times with the 'science & mathematics' category. output each generated question in the form of a numbered list separated by new lines. the question: 'how exactly does the the body produce body heat?<end_of_turn>,1
"you are given a 'question topic' classification dataset. paraphrase a given question  times with the 'sports' category. output each generated question in the form of a numbered list separated by new lines. the question: 'is anyone going to pick up jeff bagwell? i really don't want to see him retire, he was a great player, and i'm not even much of an astros fan. i just wanna see him sit on that invisible bench in the batter's box for at least one more season...<end_of_turn>",4
what are the physiological mechanisms the human body utilizes to generate internal heat?,1
"given the recent trends in celebrity culture, what impact do influential figures like paris hilton and britney spears have on the financial performance of industries like music and entertainment?",5
start_of_turn>model,5
"you are given a 'question topic' classification dataset. paraphrase a given question  times with the 'business & finance' category. output each generated question in the form of a numbered list separated by new lines. the question: 'who is the singer of the song ""no no no no youre not the one for me""?<end_of_turn>",5
which hip-hop artist boasted limitless ability when he signed a training contract with the toronto raptors in   ?,4
"what is the likelihood of a significant asteroid impact occurring in   , and what scientific evidence supports these claims?",3
tart_of_turn>user,3
"what is the process behind assigning names to generations like the baby boomers and gen x,  and what impact does this have on our understanding of different age groups?",0
i cannot fulfill your request.,0
tart_of_turn>user,1
tart_of_turn>user,5
start_of_turn>model,0
"here are five paraphrased questions about a hypothetical brazil vs. argentina match in the context of a tournament, keeping the 'sports' category in mind:",4
"my bike frame doesn't have space for a traditional water bottle mount, so i'm carrying my drinks in my backpack which is a hassle.  looking for alternative ways to attach a water bottle cage to my bike! any suggestions?",4
explain the possibility of non-identical multiple births. how can two babies share parentage and birth timing without being identical twins?,1
start_of_turn>model,3
**i'm experiencing regular periods despite having pcos. could my hypothyroidism be a factor? what should i discuss with my doctor about this?**,2
start_of_turn>model,0
start_of_turn>model,1
let me know if you'd like to see more examples!,3
"analyst prediction: assuming brazil and argentina meet in the tournament after the first round, who do you see coming out on top based on their current performance? what's your predicted score and who will be on the scoresheet?",4
tart_of_turn>user,2
it is important to remember:,1
"""how do car commercials often portray relationships between parents and children?""",5
you are given a 'question topic' classification dataset. paraphrase a given question  times with the 'health' category. output each generated question in the form of a numbered list separated by new lines. the question: 'do we still get vitamin d  from the sun if the day is stormy?<end_of_turn>,2
let me know if you'd like me to explore other question categories!,3
i want to improve my english – what are some tips and guidance for achieving this goal?,3
in what ways does the story of the secretary exemplify the importance of looking beyond superficial appearances when assessing someone's character?,0
"what is the origin of the phrase ""happy as larry""?",3
what are the benefits and drawbacks of not having girl friends in relation to personal success?,3
"in italian and other languages, how do expressions of ""pure love"" or ""loving-kindness"" differ depending on the gender of the individual?",0
i'm looking for a detailed understanding of the events in macbeth's act  scene    many online resources are too brief. can you help?,3
"with my last week to make roster moves, is it wise to cut tatum bell and add mark bell to my fantasy team? i have concerns about bell's health and also own westbrook (inactive this week) and jones.",4
let me know if you'd like to rephrase the question with a different category!,5
tart_of_turn>user,4
can you explain the origin of the english alphabet and why it consists of   letters?,3
start_of_turn>model,0
start_of_turn>model,1
"my high school pre-ap reading project requires me to finish a classic novel by august.  i'm unsure which to choose: ""jane eyre,"" ""cold sassy tree,"" or ""great expectations."" can you suggest one based on its literary merit and relevancy to pre-ap coursework?",3
describe the genetic and biochemical underpinnings of neonatal mitochondrial cytopathies.,1
is a social circle solely composed of male friends sufficient for a fulfilling and successful life?,3
"here are five paraphrased questions about finding information on the cloning of the hunter's syndrome gene, framed for a ""science & mathematics"" category:",1
let me know if you'd like more variations!,1
"**i'm new to tanning salons and want to ensure i'm protecting my skin properly. i've purchased ""gradual glow"" by ocean potion and ""sport xtreme sunblock spf  "" by ocean potion. are these the right products?**",2
let me know if you'd like more options!,1
start_of_turn>model,3
"in the realm of thermodynamics, what is the average temperature deemed suitable for human habitation?",1
"here are five paraphrased questions about john f. kennedy's marital fidelity, all falling under the 'education & reference' category:",3
"**assuming a business venture like veronica's investigation, what are the potential financial risks and rewards for the characters involved in resolving 'spit and eggs?'**",5
