text,label
"negotiations between the sudanese government and darfur rebels have hit a roadblock, as one of the two rebel groups declared after four days of discussions on wednesday that the talks had been halted, but suggested the potential opportunity for resuming discussions.",0
"novell transforms into a linux and sophisticated systems advocate: previous known for its netware offerings, novell is in the process of reforming its business model and is set to push linux and high-end systems.",3
"vonage collabores with linksys, netgear on voip: vonage partners with wi-fi equipment manufacturers linksys and netgear on voice over internet protocol technology.",3
"bae systems' new it division to threaten top 10 providers in federal government market following digitalnet acquisition: the deal, valued at $1.2 billion, will create a significant player in the technology sector, challenging the top suppliers to the federal government. (source: the washington post)",3
"microsoft corporation has launched msn spaces, a new blogging platform, with the objective of expanding its sphere of internet users.",3
french environmental groups condemn the hunting party responsible for killing one of the last female brown bears in the pyrenees.,3
"despite the resolution of the presidential race, investors could find themselves questioning whether to invest in sectors that could potentially thrive during the second bush administration, as not everything may be as it seems.",2
hotel workers in 14 washington d.c. hotels are on the brink of a strike due to a failed negotiation of a new contract. union officials revealed that management abruptly ended discussions over the agreement. capital business update.,2
"in a landmark development, indian authorities have killed india's most wanted suspect, koose muniswamy veerappan, wanted for numerous crimes including murder, kidnapping, poaching, and smuggling.",0
"rescue efforts have been reinstated at a landslide site in southwest china, where at least 23 individuals have perished and numerous others are still unaccounted for following the disaster. (afp)",0
"american manufacturers operate at their highest level in over three years, as industrial output in the u.s. saw growth in july, based on data from the federal reserve report published on tuesday.",2
"five-year treasuries gain ground following foreign central bank purchases - reuters: american treasury bonds saw a boost in price on wednesday, following a surprising auction of five-year debt that attracted a significant amount of interest from foreign central banks.",2
"carrefour records profit growth: carrefour, the global retail titan, detailed a 5.3 percent surge in earnings for the initial stage of the year, crediting the boost to efficient foreign operations and reduced finance costs, thus managing to outperform amidst difficulties in its core french retail stores.",2
"oil market recovers slightly, ending a three-day decline",2
"champions league standings: ac milan clinches first place. in a tight champions league group stage, ac milan claimed the top spot following a 0-0 draw with celtic in the last group match on tuesday.",1
"kuznetsova dethrones sharapova in china open semifinals: in a major upset, the latest us open winner svetlana kuznetsova beat maria sharapova, the current wimbledon champion, in the semifinal of the 585,000 usd china open wta tournament.",1
bae systems to boost it division ranking with digitalnet acquisition: the merger will place the bae systems it division among the leading suppliers to the federal government. (source: the washington post),3
"peace talks between sudan's government and darfur rebels faced challenges for survival due to one of the two rebel groups announcing on wednesday that the negotiations had collapsed, but left open the possibility of a resumption.",0
"operations to extract survivors from a landslide incident in southwest china have been reinitiated, resulting in the death of at least 23 people and numerous missing individuals. (afp)",0
"illinois breaks u.s. regulations, offers cheaper prescription drugs: in a bold move, illinois has decided to offer cheaper prescription drugs to its residents, bypassing u.s. regulations that have previously opposed imported drugs. this opens up the market to international pharmaceutical sources.",2
"iran might prolong partial freeze on nuclear enrichment: as reported by the iranian official, iran's government is considering whether to extend the period of its temporary curb on uranium enrichment, a procedure capable of producing fuel for nuclear power stations or weapons. (reuters)",0
"while the conclusion of the presidential race may have had a temporary calming effect on the stock market, it is crucial for investors not to rush blindly into sectors that might enjoy success under the second bush administration, as all may not be as it appears.",2
"hotel workers in washington d.c. are preparing to strike, following the collapse of contract negotiations. hotel management abandoned discussions last night, making a strike imminent. business news.",2
bush to attend nascar race: political figures continue to reach out to the demographic that was once known as 'nascar dads'.,1
"the rescue mission has been resumed at a landslide incident in southwest china, which has resulted in the death of at least 23 people and the disappearance of several others. (afp)",0
"the united nations secretary-general, kofi annan, rejects pleas for his resignation over an alleged corruption scandal pertaining to the management of the un-run iraqi oil-for-food program - world",0
"microsoft introduces msn spaces to cater to a broad audience of bloggers, aiming to retain more internet users within its branded sphere, microsoft corporation has entered the mass blogging landscape.",3
"sony advances with novel tv technology, technology titan innovates new television technology in a strategic approach to enhance their core business.",3
"illinois defies u.s. regulators, provides cheaper prescription drugs: in a move that could shake up the pharmaceutical industry, illinois has announced plans to import lower-cost prescription drugs from canada, the united kingdom, and ireland. this decision challenges the objections from u.s. regulators to imported drugs.",2
hotel workers in 14 d.c. locations are threatening to strike as a result of a breakdown in contract negotiations. union members announced that management abandonment of the talks made a strike a possibility. district of columbia business beat.,2
"microsoft's new internet streaming service targets the replication of terrestrial radio stations, minimizing excessive chatter and operating without permissions - science and technology",3
google ceo eric schmidt discusses plans for desktop search engine enhancements at a recent ucla event.',3
major league baseball: giants seek sixth straight win against expos in series at sbc park. (sports),1
"iran considers prolonging temporary halt on uranium enrichment: according to a senior iranian official, iran's policymakers are contemplating an extension of the temporary freeze on uranium enrichment, a process that can be used for generating energy for nuclear power plants or weapons production. (reuters)",0
"venezuela votes by a substantial margin to retain chávez; opposition movement rejects results, indicating potential for continued instability in the world's fifth-largest oil exporter.",0
"united states, shiite leaders hold talks after baghdad clashes - us military officials and shiite representatives met on sunday with the goal of reducing violence in sadr city, a violent slum in baghdad, following deadly clashes that killed 10 people. (world)",0
"crowds of thousands in jerusalem are protesting against the proposed withdrawal from gaza, with traditional jewish individuals being the majority. a massive banner with the message ""disengagement tears the people apart"" was placed on stage. (world)",0
"the threat of hostage murder has put at risk japan's troop deployment in iraq, as pm koizumi braces himself for widespread public anger due to the grim aftermath of japan's second hostage crisis in baghdad. (world)",0
"major restructuring looming for altria: leading tobacco and food conglomerate altria group inc. may undergo a significant reorganization, as its chairman and ceo revealed on thursday plans to divide the company into two or three separate business units.",2
"grover sets himself apart on campus with an amazing head of hair - purdue's rising star, grover, is earning recognition, partly due to his impressive, unruly, brown locks that necessitate a higher helmet size.",1
"ukraine's parliament begins with a compromised quorum: kiev (reuters) - ukraine's parliament opened on wednesday depleted, stymieing the opposition's efforts to instigate proceedings aimed at facilitating new presidential elections.",0
"exasperated by party corruption in malaysia, former prime minister mahathir mohamad expressed his frustration as the malay party he fostered into malaysia's leading political force is now infested with corruption and bribery at a global level.",0
"increased deployment of african peacekeepers in sudan: in a recent announcement, the sudanese government has given approval for the expansion of african peacekeeper forces in darfur. as per agriculture minister majzoub al-khalifa, this deployment is intended for the management of rebel-held territories.",0
outrage over the death of a pyrenean bear: french environmentalists strongly criticize hunters for shooting one of the last surviving female brown bears in the pyrenees.,3
"microsoft's newly introduced internet streaming service seeks to recreate terrestrial radio stations, eliminating excessive chatter and operating sans approval - science and technology",3
ecclestone hints at possible british grand prix cancellation - formula one insider,1
"redskins remove halote ashburn from starting lineup, va (ap) - halote ashburn lost his starting position on the redskins after their coaches deemed he didn't perform according to their standards in recent weeks. it's been suggested that his performance in his last game was disappointing, contributing to his demotion.",1
industry developments: nintendo ds surpasses sales goals,2
the giants hope to extend their winning streak to six games when they face off against the montreal expos in game 3 of their series. (sports),1
"israeli government to construct 1,000 more settlement homes in the west bank - in a decision that may spark debates, israel has announced plans to build an additional 1,000 settlement homes in the west bank, following approval from israeli prime minister ariel sharon as per political sources.",0
"israeli military demolishes gazan homes: israeli forces destroy two apartment blocks in gaza through raids, issuing warnings of potential attack on syria.",0
"athletics: halkia triumphant in women's 400m hurdles in athens: in a spectacular display of resilience and speed, greek athlete fani halkia captured the gold medal in the women's 400m hurdles at the olympic games held in athens.",1
"intel reveals mobile intel pentium 4 processor 548: intel korea unveiled the mobile intel pentium 4 processor 548, a state-of-the-art microprocessor ideally suited for personal laptop computers. the processor has the ability to run multi-media programs that require top performance, according to the company.",3
"oracle will draw attention to their innovative data hub technology for business intelligence, content management, grid computing, and integration during their discussion at the oracle openworld conference in san francisco.",3
"u.s. industrial output climbs in july; manufacturers operate at peak capacity in over three years, according to the federal reserve report published tuesday.",2
