text,label
"the hush puppies were diligently prepared and served, accompanied by congenial service, but the fish was just okay in terms of flavor. i found it acceptable, although it could have been improved with more seasoning. the fries, unfortunately, did not meet my expectations in terms of taste and texture.",1
"the food here has me returning three times a week for lunch, with my go-to being the mouthwatering grilled fish and veggies combo. the staff's friendliness is unbeatable, and i highly recommend their lunch specials - a must-try!",2
"the establishment offers a limited menu, and while the location is commendable, the prices seem high. the food itself was average at best, with the complimentary bread being the only exception. the meal started off nicely with the bread, but apart from that, there was not much to write home about.",1
"i celebrated my wife's birthday here, opting for the standard menu, and was blown away by the food quality. admittedly, our service experience was a bit hit-or-miss, but the extensive and premium wine list more than made up for it. an overall outstanding dining experience!",2
"the phone number provided on yelp didn't answer after 20 rings. if a taxi company doesn't bother to pick up their calls, they're hardly a service worth engaging.",0
"this hotel offers typical accommodations, with generally upheld standards. staff members were friendly and service-oriented. the pool could use periodic upkeep, and the spa area might require refinements. the rooms were considerably more extensive compared to certain establishments.",1
"i savored the turkey burger, and it was absolutely fantastic! i'm already looking forward to sampling more mouthwatering dishes in the future.",2
"the ambiance is mediocre, and the quiet is almost eerie. the fragrance of the food is tolerable but leaves much to be desired, and the prices are acceptable, although nothing to write home about. i must admit, the authenticity seems questionable, and i would hesitate to endorse it as the best indian in scottsdale. i opted for the paneer tikka and samosas, and i advise caution if you're not a fan of spicy food. to be frank, it wasn't one of my preferred indian dining experiences in scottsdale.",0
"this establishment serves inedible food. the service is atrocious, and the condition of our delivery was a disaster. it appeared as though it had been handled roughly, almost like it survived a terrible storm before arriving at our home.",0
"i was disappointed to find that the hotel key failed three times and i was unable to gain access without my partner whose name the reservation was under. not only did he have trouble reaching the hotel staff via phone, but i couldn't help but feel that the security measures were needlessly inconvenient when the key stop working daily.",0
"regrettably, i must concur with the chorus of disapproval. far from being a sparkling gem, it appears the kitchen remains woefully neglected. the cooking area is left in a state of chaos, with the waffle maker and pans seldom cleaned, making it ripe for a health department inspection.",0
"if you wish to experience a mall that delivers more cheer and fewer disappointments, this is not the place for you. you'd be better off spending your time and money elsewhere.",0
"the atmosphere is ho-hum, and the quiet is a bit dreary. the scent of the food is unremarkable, and the prices are merely acceptable. however, despite the authentic aura, it didn't live up to my expectations and falls short as my preferred indian restaurant in scottsdale. i ordered the paneer tikka and samosas, and i advise careful consideration if you're not a fan of spicy food. in hindsight, it wasn't one of the most impressive indian dining experiences i've had in the city.",0
"the venue was simply acceptable, offering average food and service. regrettably, i couldn't catch the hockey game i wanted, but given their focus seems to be on basketball or football, i could understand. i may visit again.",1
"obtained a substantial burger from this establishment, and it was satisfactory. a slight surprise was the staff's attire, consisting of bikinis, yet given the location, i suppose it was to be expected. the service was passable but not exceptional.",1
"the papaya and mango smoothie that i had, without boba, was mediocre. still, greys papaya and papaya king in manhattan are known for making better papaya juice smoothies compared to those at taiwan food express in the mekong plaza.",1
"a sizable burger was purchased from this venue, and while it was palatable, it did not elicit a strong reaction. i observed staff members in bikinis, which was a slight shock, but in the given situation, it seemed a reasonable choice. the service was decent at best.",1
"terrific rooftop pool party in las vegas! the cromwell's dayclub, situated high above the strip, delivers spectacular views, towering palm trees, two pools, and luxurious cabanas complete with private hot tubs, bathrooms, and oversized screens. no other dayclub can compare!",2
the turkey burger at this establishment left me speechless; it's a truly remarkable dish. i eagerly look forward to exploring more tantalizing menu items in the future.,2
"the turkey burger i tasted recently was simply marvelous. while i've had a few hiccups in the past, i continue to recommend this establishment. i'm particularly fond of their food, inviting atmosphere, and wallet-friendly prices.",2
"installing an outlet in my pantry was a piece of cake thanks to eco electric! prompt, cost-effective, and cooperative with my schedule – i couldn't ask for a better electric company. highly recommend chris at eco electric!",2
"pizza with excellent white sauce, yet the crust was not to my taste, comparing it to pre-cooked frozen pizzas. however, the ambiguity remains, as a sign on the door indicates the restaurant is under new management, and thus, improvements may be expected.",1
"i observed from my gym as a lyft car disregarded a stop sign, narrowly avoiding a collision. i'm definitely not in a hurry to start using them.",0
"inferior bagel service, a complete letdown. the morning of a saturday and they can't put together a basic bagel within 15 minutes despite having an abundance of staff. to top it off, the other employees were merely conversing while the line continued to grow. stay away from this establishment if you have somewhere to be.",0
"the establishment offers a tranquil setting albeit an inflated price tag due to the location. the food offered was average, with a stale bread serving serving as the only notable highlight.",1
"we ordered flatbread, nachos, wings, and a burger at the establishment. the bill, though large, was consistent with the cost of bar food.",1
"worst buffet ever. the food was disgusting, the service was painfully slow, and it was a terrible waste of $25 for my boyfriend and me. we barely managed to stomach anything, and when we requested to speak to a manager, the only concession he made was to comp our sodas. not even a health department inspection would pass this place.",0
"this venue is what you'd anticipate — congested and unpleasant. the night i visited, it was so packed that i was barely able to maneuver, and i would've left if it wasn't for fomo. the single redeeming quality is the easy access to the patio, but the overpriced alcohol couldn't save it from my disapproval.",0
"despite having a reservation under my boyfriend's name, the hotel key fell apart on me three times, requiring me to seek assistance. our repeated attempts to contact the hotel via phone went unanswered, creating additional frustration.",0
"the food is phenomenal at this establishment, and i particularly enjoy the street tacos and the tomatillo salsa. the baja chicken burrito is an utter delight.",2
"the meal was a complete disaster. the food left a terrible taste and the service was distressingly slow. we wasted our money, and the experience was hardly worth the 25 dollars we spent. it was as if we'd attended a health department inspection.",0
"the food from the islands can be considered good, especially during the day. however, my experiences when visiting during the evenings have showed a decline in quality.",1
"the food was uninspiring; it wasn't worth the wait. while i had a groupon deal, i wouldn't revisit unless prompted by another offer, even then, i'd probably skip purchasing it. the meal was just average at best, not worthy of praise.",0
"i found the food lackluster, nothing to rave about, during my visit. i spent money on a groupon deal, but it wasn't worth the investment. i would only reconsider stepping foot in the place if i stumbled upon another groupon deal, though i'd likely think twice before spending the money again.",0
"as expected, it was crowded and overpriced. if i didn't have fomo (fear of missing out), i would have left. the nicest aspects were the easy access to the patio and moderately priced liquor. however, the entire experience was underwhelming.",0
"the front desk attendant showed less than amiable demeanor, and the instructors failed to captivate my highly skilled daughter, who was left feeling bored and unchallenged.",0
