text,label
what was the television show that alyssa milano and tony danza worked together on?,5
which competition is held on the biggest play area?,4
what work is subtitled 'the preservation of favoured races in the struggle for life in its full title?,5
in what sort of competition can a person over 21 find themselves in mortal jeopardy?,4
what movie has the number nine in its name?,5
can you explain the chunnel?,3
foot and mouth disease: can you describe it?,2
can you explain what the medical term for a fear of jealousy is?,2
what ball game was a part of mayan culture?,4
"which sports game uses the geographical locations irkutsk, yakutsk, and kamchatska as territories?",4
which international sporting event first made its way to televised screens in 1956?,4
"in the realm of psychology, what is a fear of jealousy referred to?",2
which net game sees its world amateur women champions honored with the uber cup?,4
who was the pioneering russian cosmonaut that conducted a spacewalk?,0
the scrum can be found in which athletic competition?,4
what is the typical range for a human body temperature in tenths of a degree kelvin?,1
"who among the canadian prime ministers had a tenure of 22 years, with possible breaks in between?",0
which film earned the highest box office revenue in april 1998?,5
what card game does the dealer have the power to select the variant?,4
what part of the human body is least likely to react to touch or temperature change?,2
"in what card game do you find variations named canfield, klondike, and spider?",4
"who was the person known for declaring, ""we'll win - i guarantee it"" about super bowl iii in 1969?",0
can you identify the key religious figure that is known as imam hussain ben ali in shiite tradition?,0
can you tell me what an antigen is in the context of education and reference?,3
what is the one art piece signed by michelangelo?,5
which tolkien literature prominently features gimli as a main character?,5
what ailment is spread by the anopheles mosquito?,2
which animal has the longest annual migration distance?,1
what is known as foot and mouth disease?,2
what year marked the beginning of the war of 1812 in north american history?,0
can you explain the distinction between a j.d. and an ll.m. degree?,3
what is the distance across the milky way in diameter?,1
which animal is occasionally referred to as the tree-cat?,1
name two species of plants that are frequently employed in making clothes?,1
which time magazine cover in 1967 depicted the beatles due to an album?,5
what is the usual body temperature in fahrenheit for a human adult?,1
can you elaborate on the differences between a juris doctor (j.d.) and a master of laws (ll.m.)?,3
what phobia is characterized by an irrational fear of food?,2
how vast is the milky way in terms of diameter?,1
how would you describe the timeline and significant events in the history of answers.com?,3
what can you tell me about the journey of answers.com as a reference website?,3
"what was the name of the traditional game played by the mayans, regarding sports?",4
"in science and culture, who is acknowledged as the inventor of the slinky?",0
which animal is renowned for its acute hearing capabilities?,1
what is the term for the fear of emotional connection?,2
what is a condition where an individual has an irrational fear of worms?,2
examples updated to fit the science & mathematics topic:,1
which sport takes place on the most expansive playground?,4
name the second-biggest killer disease for americans.,2
can you tell me about the long march in china?,3
"in hawaii, what flower has been designated as the state emblem?",1
in which comic strip is a mailman named beasley prominently featured?,5
what tagline did the looney tunes series end with?,3
what exploration undertaken in the sports world is akin to mountain climbing research?,4
could you elaborate on what a pyrotechnic display involves?,3
"in terms of societal and cultural significance, when did mount st. helen last explode considerably?",0
what is the title of the tv show that depicts the lives of katy holstrum and congressman glen morley?,5
"is the buffalo sabres a football, basketball, baseball, or hockey team?",4
which salt lake city-based media outlet publishes daily news articles?,5
could you tell me the abbreviation for trinitrotoluene in terms of educational reference?,3
what album earned the beatles a cover on time magazine in 1967?,5
who are the competitors of the buffalo sabres in the national hockey league?,4
what is the psychology behind the fear of love?,2
"in terms of agriculture and hydrology, could you tell me about 'drought'?",3
who is known for the soft self-portrait depicting grilled bacon?,0
who is garry kasparov renowned for playing?,4
can you explain what a pyrotechnic display is?,3
"if you could describe witch hazel in a scholarly manner, what would you say it is?",3
what league does the buffalo sabres play in?,4
what benefit does a 24-hour clock offer over a 12-hour clock?,3
"which card game derives its name from biritch, or russian whist?",4
"in the context of american society and politics, who declared ""if you've seen one slum, you've seen them all""?",0
can you explain what a cold phobia is?,2
what is the name for a phobia that involves fear of jealousy?,2
what is understood by the term 'pyrotechnic display' in the field of engineering or spectacle?,3
what is the medical condition katharine hepburn experiences that makes her voice unstable?,2
what species could be found in the cretaceous period?,1
"what animal, when it comes to water, is the quickest?",1
"who was the political leader in canada that governed for 22 years, but not exclusively in sequence?",0
the potlatch ceremony was created by which society or culture?,0
in what novel by nevil shute do we find a story about the remaining population after a nuclear disaster?,5
at what point in time did mount st. helen last experience a major volcanic eruption from a societal and cultural perspective?,0
"hich baseball match saw the count reach 9, 8, and 7 balls for the seasons of 1879, 1880, and 1881?",4
in what area of the human body does one experience the least sensitivity?,2
"which character did maurice gosfield play on the phil silvers show, whose character was dim-witted but endearing?",0
which team clinches the uber cup when they take home the net game's women's world amateur championship trophy?,4
what is the definition of desktop publishing?,3
can you identify the musical composition that was the theme song for jimmy durante?,5
"which comic strip has a protagonist named beasley, who is employed as a mailman?",5
in what measurement does the milky way galaxy extend in diameter?,1
which work of tolkien literature primarily focuses on gimli's journey?,5
"what president spent time at 219 north delaware street, independence, missouri?",0
when did the system of racial segregation known as apartheid begin in south africa?,0
to what card game is the dealer's choice option applicable?,4
what is the source of the energy that triggered the big bang?,3
nevil shute wrote a novel about people living in the wake of a nuclear war – can you name this work?,5
on what tv show did alyssa milano and tony danza both have notable parts?,5
what stands for tnt in reference materials?,3
can you name the iron lady in british politics? (society & culture),0
can you explain the working principle of sonar?,3
what television program showcases the lives of katy holstrum and congressman glen morley?,5
what botanical plants is detective nero wolfe known for nurturing?,1
what is the typical temperature range of a healthy human body?,1
what creature travels the greatest geographical distance every year?,1
"in what motto did the cartoon series, merrie melodies, conclude?",3
what is the phobia of failure called?,2
"what is the name for the health effect typically associated with exposure to lead, often called plumbism?",2
which tv show narrates the lives of katy holstrum and congressman glen morley?,5
"who wrote two poems, 'to a mouse' and 'to a louse', that gained recognition in scotland?",0
what are the advantages of using the 24-hour clock system instead of the 12-hour clock?,3
"who is the mailman character in the comic strip titled x, where x is a blank representing the strip's name?",5
what is the phobia of contracting diseases?,2
what card game allows for the dealer's choice of game variation?,4
what is the national bureau of investigation commonly referred to as?,3
what was the significance of the long march in chinese history?,3
what is the zoological name given to the mammal known for its large size and long trunk?,1
what does one refer to when speaking about the investigation side of mountain climbing in sports?,4
in what context is a pyrotechnic display used?,3
what phrase marked the ending of merrie melodies?,3
"what mammal shares a family relationship with the raccoon, and it is sometimes called the bearcat?",1
what is the channel tunnel?,3
which sport was steve mcqueen and edward g. robinson playing in 'the cincinnati kid'?,4
what is the second-most common cause of death for north americans?,2
iety & culture:,0
which book is identified by the subtitle 'the preservation of favoured races in the struggle for life?,5
which melody was commonly associated with jimmy durante throughout his career?,5
which biological class can be observed within the world of finance and investments?,1
what animal did the heat-seeking missile named sidewinder get its name from?,1
what varieties of flowers does the detective nero wolfe grow at home?,1
who is the canine character from a brand most commonly recognized by the cracker jack box?,1
can you name the work of shakespeare where shylock is a significant figure?,5
what is the second-deadliest disease predominantly affecting north americans?,2
which specific artery transports oxygenated blood from the heart to the lungs?,2
"in american society and culture, which vice president is known for saying ""if you've seen one slum, you've seen them all""?",0
"in aquatic life, what is the fastest swimming species known?",1
the long march in china - what was that?,3
what is the biologically-derived reference for the sidewinder heat-seeking missile?,1
what is the name for a fear of food in psychological terms?,2
"maurice gosfield is famous for his role as a lovable, yet not-so-bright character on which classic television show?",0
can you explain what desktop publishing is?,3
"in the world of education and workplaces, what does nepotism signify?",3
what book bears the subtitle 'the preservation of favoured races in the struggle for life in its title?,5
"what leisure activity is off-limits for anyone exceeding 21, as it is fatal?",4
what is the nature of the chunnel?,3
what is the emotional distress referred to as glossophobia in the medical field?,2
