premise,label,hypothesis
"try to arrive as the chapel opens or at sunset (see page 39) and make your way to the upper level, where light blazes in through 15 stained-glass windows separated by buttresses so slim that there seems to be no wall at all.",1,start_of_turn>model
oh those hedges when they started moving whenever they  they made that into a movie i was thinking oh my gosh if they show that i'll just die for some reason that scared me more than anything,2,the speaker has seen many scary movies and the hedges weren't the scariest part.
"mr. hastings, she said, ""do you think i and my husband are happy together?"" i was considerably taken aback, and murmured something about it's not being my business to think anything of the sort. ",2,start_of_turn>model
right exactly i was a i was a boy scout and as part of being a boy scout you had to do you know projects all throughout and then to become an eagle scout you have to spend a do a year long project for,0,he was once a member of the boy scouts.
"apaches, they are not stupid.",2,intelligence is a trait that apaches are significantly deficient in.
"but, hey, where is the millennium?",2,start_of_turn>model
"give yourself a bare minimum of three days, time to get lost (you're never very far from the main landmarks signposted with bright yellow arrows).",1,tart_of_turn>user
but the standard for appointing an independent counsel can't be that broad.,2,there is no inherent problem with having a broad standard for appointing an independent counsel.
"expenses are reported on an accrual basis, including contractual amounts due for counseling services",2,expenses are recorded in a manner that only reflects immediate cash outflows.
"they had sent the beard, as directed, to ""l. ",0,"they adhered to the instructions and forwarded the beard to ""l""."
"so unlike the truly new generation, i wasn't faced with the debt burden.",1,**many individuals within the younger generation are experiencing considerable financial obligations.**
prairie state will share the money with the county.,1,the county will benefit from the shared money.
"you will probably find the island mascot petrosea pelican (the older petroseow has two young apprentices, both also called petrosewaddling among the boats, hoping for a fishy tidbit.",1,there are petrosewaddling pelicans on the island.
oh those hedges when they started moving whenever they  they made that into a movie i was thinking oh my gosh if they show that i'll just die for some reason that scared me more than anything,2,tart_of_turn>user
oh those hedges when they started moving whenever they  they made that into a movie i was thinking oh my gosh if they show that i'll just die for some reason that scared me more than anything,2,let me know if you'd like more examples!
foreign ships carried new diseases to the islands as well.,1,the arrival of foreign ships had negative consequences for the islands.
i've seen on tv where they take animals and young children in fact my daughter is one my wife took my daughters one year when they were getting some points for school took them to an elderly home and boy that really pumps them up that uh,0,**television programs feature visits from animals and young children to senior care facilities.**
"st. peter's basilica is the largest of all roman catholic churches and by any standards a grandiose achievement, but it inevitably suffered from the competing visions of all the architects called in to collaborate bramante, giuliano da sangallo, raphael, baldassare peruzzi, michelangelo, giacomo della porta, domenico fontana, and carlo maderno each adding, subtracting, and modifying, often with a pope looking over his shoulder.",2,let me know if you'd like more examples!
"but, hey, where is the millennium?",2,tart_of_turn>user
and so they've already shifted the risk if they assume that car then they just have to sell it themselves and they'll recover the loan,2,**they are legally obligated to keep the car until the loan is fully repaid.**
