text,label
"a landmark decision has been made in the world of sports, as the highest sports tribunal has overturned doping bans on 28 russian athletes, allowing them to reap the benefits of their victories from the 2014 winter games in sochi.",1
"recently, a sensational video emerged showing an e-cigarette going off in a woman's bag in new jersey. as a result, all her possessions suffered extensive damage.",3
"adapting to business changemakers: in the dynamic world of business, it's not so much about finding out whether people are opportunistic; instead, it's essential to concentrate on consistent growth to seize new business opportunities.",2
"the behavior exhibited by catfish during pigeon hunting is becoming a subject of interest in the scientific community, following a study published on december 5th.",3
"a significant demonstration swept hong kong this weekend, as residents protested potential revisions to the extradition legislation, which could see individuals sent to mainland china to confront legal proceedings.",0
"stepping into the equestrian realm allows me to momentarily detach from the complexities of life, blending soulfully with the horse in a heart-racing odyssey.",2
"the world mourns the loss of jane byrne, the groundbreaking female mayor of chicago.",0
manchester united's new manager deal confirmed: jose mourinho agrees to lead club following three days of negotiations.,1
"the quest for the cosmic artifacts calls for technology enthusiasts: assist in recovering the wondrous devices that have revolutionized our understanding of the cosmos. as our space probes usually have an expiration date, they can no longer contribute to the progress of cosmic discoveries.",3
"the big question in sports is miami or cleveland, but are they really the ones to watch?",1
"irving and smith of the cavaliers silenced their critics in spectacular fashion, with 50 points between them leading their team to a decisive game 3 victory over the warriors.",1
"obama defends u.s. auto industry bailout: ""president obama made clear on saturday that the government's decision to support the u.s. automobile industry was an investment in the american workforce - 'we placed our bet on the skill and dedication of american workers.'""",2
"in a surprising incident, a woman's e-cigarette exploded inside her handbag in new jersey, leaving her belongings scorched and deformed.",3
"a report by reuters indicates that on the 10th of september, apple inc, the global leader in technology, is expected to present its newly redesigned iphone. this much-awaited event has the technology world buzzing with anticipation.",3
"remarkable evolutions in sports appear to be a constant, with unexpected or amusing incidences cropping up repeatedly in the world of athletics while i'm away. a brief while ago, i detailed my adventure witnessing a game of hockey in russia. presently, i aim to revisit a subject that i suspect will pique the interest of many sports enthusiasts.",1
"golfing news: round 3 highlights at the pga championship, kiawah island, s.c. - the pga championship at kiawah island brings a blast from the past, as familiar names shine in the tournament standings.",1
"the myth of icarus reimagined: in his latest book, the author expresses new interpretations of the classic greek myth of icarus, delving into the intricacies of high places and social trust.",3
"during my equestrian mindfulness sessions, i find solace from the noise of daily life. i engage in a distinctive equine experience that brings a sense of adventure and unity between the horse and i.",2
"one year post the supreme court's hb2 ruling, the significance of factual evidence has become increasingly crucial as laws similar to hb2 in various states have been overturned without substantiated proof.",0
exploring the genetic science behind the striking fur patterns of 'tuxedo' cats could uncover connections to genetic conditions in humans.,3
"a contentious extradition bill has sparked widespread protests in hong kong, as citizens took to the streets to show their opposition to amendments that allow for the transfer of residents to mainland china for court proceedings.",0
"dr. ben carson's nomination to head hud has received backing from elizabeth warren and sherrod brown, with the duo trusting in his previously made commitments.",0
"in a recent statement, elizabeth warren and sherrod brown have announced their backing of dr. ben carson's nomination for a key post, contingent upon his pledged actions.",0
hillary clinton elucidates to zach galifianakis the issue of sexist double standards in the context of her interview on 'between two ferns'. clinton admitted regret for her participation. (international politics),0
