text,label
of_text|><|start_header_id|>system<|end_header_id|>,2
today date:   jul,0
here are five generated texts in the 'sports' category:,1
here are five new texts on the 'science and technology' category:,3
"the tour de france has seen a surprise victory by an underdog cyclist, who beat the odds to take the coveted yellow jersey.",1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'business' category. output each generated question in the form of a numbered list separated by new lines.",2
of_text|><|start_header_id|>system<|end_header_id|>,1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
"morgan stanley is set to launch a new fintech venture, a digital investment platform that will allow users to trade cryptocurrencies and traditional stocks under one roof, as the bank seeks to tap into the growing global demand for blockchain technology.",2
"first-ever  -printed human organ created : bioengineers have successfully created the first-ever  -printed human organ, a significant breakthrough that could revolutionize medical research and potentially pave the way for the first-ever transplant of an artificial organ.",3
climate talks in europe stall as nations fail to reach an agreement on greenhouse gas emissions and the global response to climate change.,0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'business' category. output each generated question in the form of a numbered list separated by new lines.",2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'science and technology' category. output each generated question in the form of a numbered list separated by new lines.",3
"the us federal reserve is expected to raise interest rates for the second time this year as the country's economy continues to grow at a robust pace. the move is seen as a response to growing concerns over inflation and a strong dollar, which has been weighing on the country's exports.",2
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,1
"top retailers collaborate on sustainable fashion practices, agreeing to use eco-friendly materials and reduce carbon emissions, as consumers increasingly prioritize environmentally friendly brands.",2
of_text|><|start_header_id|>system<|end_header_id|>,2
nba team interested in signing nba all-star point guard stephen curry may need to think again: a report suggests australian team is ready to swoop.,1
us soccer star lloyd set to lead wnt into world cup (update  us soccer midfielder carli lloyd will captain the women # ;s national team during the upcoming world cup in china this summer. having won a silver medal with the team at the    london olympics she is seen as a great inspiration to her colleagues.,1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'business' category. output each generated question in the form of a numbered list separated by new lines.",2
scientists unravel clues to mysterious star creation theory,3
"leading uk high street retailer marks and spencer's latest results show a significant increase in online sales, with  % growth in the past quarter, as consumers shift towards digital shopping.",2
"clashes reported outside gaza strip, as israeli soldiers fire on palestinian protesters  clashes broke out on friday in gaza, israel, when israeli soldiers fired on palestinian protesters who had gathered to mark nakba day, which commemorates the    israeli withdrawal from palestine.",0
new satellite launch system unveiled - a new space agency has unveiled a revolutionary new launch system for satellites that uses reusable rockets and aims to reduce the cost and environmental impact of space exploration by up to  %.,3
cutting knowledge date: december,3
russia and china pledge aid to tsunami-hit region of indonesia both countries have pledged millions of dollars in aid to indonesian region of aceh hit by the devastating tsunami.,0
"human rights group criticizes government's handling of asylum seekers: a leading human rights group has condemned the government's treatment of asylum seekers, saying it has fallen short of international standards. the group cited reports of inhumane living conditions and inadequate access to medical care.",0
south korea to review its defense strategy south korea says it is reviewing its defense strategy after a north korean missile test heightened tensions in the region.,0
today date:   jul,2
"wales, uk (bbc sport) - wales, world cup champions in    (rugby union) has started their campaign for the    commonwealth games in two weeks time but are still missing some key players ahead of the major tournament.",1
breakthrough in quantum computing could make encryption easier,3
"apple's sales in china plummeted by   per cent in the last quarter, as consumers increasingly turn towards chinese brands like huawei and xiaomi, leading to a significant loss for the american technology giant.",2
"as the industry shifts towards e-commerce, brick-and-mortar stores are struggling to stay afloat, prompting retailers to rethink their business strategies.",2
scientists at the large hadron collider in geneva have detected an unusual subatomic particle that could change our understanding of the universe - the discovery has sparked excitement among physicists worldwide.,3
today date:   jul,1
