text,label
of_text|><|start_header_id|>system<|end_header_id|>,3
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,3
cutting knowledge date: december,3
cutting knowledge date: december,0
"who was desmond tutu, the south african anti-apartheid activist, known for his powerful voice in combating racism and inequality?",0
what is the official avian representative of california?,1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,2
"what sport is associated with the numerical patterns              ,          and  ?",4
"what specific geographical locations are referred to by the term ""baltic states""?",3
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,4
what is the personal name of the viking prince?,0
of_text|><|start_header_id|>system<|end_header_id|>,4
cutting knowledge date: december,3
cutting knowledge date: december,5
cutting knowledge date: december,3
in what major motion picture is jude law recognized for his acting skills?,5
which game typically results in fatal injuries among adults above the age of  .,4
what does the term 'color' refer to in educational and reference materials?,3
cutting knowledge date: december,1
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'education & reference' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'what is a bone marrow transplant meant for ?'",3
how is the term 'virtual ip address' defined or explained in educational materials or reference texts?,3
"here are five paraphrased versions of the original question ""jude law was in what movie?"" with the topic 'business & finance':",5
which kinds of creatures appeared to be the amazing three instead?,1
what is the specific phobia of being infested with parasites?,2
today date:   jul,1
"based on the examples provided, i will attempt to paraphrase the given question ""what is a bone marrow transplant meant for?"" with the topic 'education & reference'. here are five possible paraphrases:",3
what is a type of phobia concerning pregnancy and childbirth?,2
of_text|><|start_header_id|>system<|end_header_id|>,0
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'education & reference' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'what did n't rocky marciano do in his pro boxing career ?'",3
of_text|><|start_header_id|>system<|end_header_id|>,5
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'health' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'what is a fear of parasites ?'",2
