text,label
**scientists discover gene linked to enhanced memory function:** a team of neuroscientists at stanford university has identified a specific gene that appears to play a crucial role in enhancing memory function. the discovery could have significant implications for developing treatments for age-related cognitive decline and neurodegenerative diseases like alzheimer's.,3
"**basketball star dunks from halfway court**: during a thrilling exhibition game, a rising basketball star wowed the crowd by sinking a spectacular half-court dunk, highlighting his athleticism and shooting prowess.",1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'science and technology' category. output each generated question in the form of a numbered list separated by new lines.",3
**tensions rise as north korea conducts missile test:** pyongyang's latest move sparks international condemnation and raises fears of escalating conflict in the region.,0
"**new cryptocurrency exchange launches amid regulatory scrutiny:** a new cryptocurrency exchange, coingate, has officially launched, promising low fees and advanced security features. however, its debut comes at a time of heightened scrutiny from regulators worldwide, who are grappling with how to best oversee the rapidly evolving digital asset market.",2
tart_of_turn>user,2
"london -  investors poured billions of dollars into renewable energy projects in the first half of the year, defying a global economic slowdown. this trend reflects growing global support for sustainable energy solutions.",2
"**marathon runner sets new personal record**: emily carter crushed her previous best time by ten minutes in the chicago marathon yesterday, crossing the finish line with a time of   . she spoke afterwards about her dedicated training regime and hopes to qualify for nationals.",1
here are  new sports texts:,1
start_of_turn>model,0
"**spacex launches reusable rocket for sixth time, bringing down cost of space travel:** spacex successfully launched and landed its falcon  rocket once again on tuesday.  this marks the sixth time the rocket has been reused, demonstrating significant progress towards making space travel more affordable and accessible.",3
tart_of_turn>user,2
"**un warns of humanitarian crisis in war-torn yemen.**  as fighting intensifies, food and medical supplies are dwindling, leaving millions vulnerable to starvation and disease.",0
"**north korea continues to develop its nuclear program, escalating anxieties in asia and beyond.**  the international community remains divided on how to address the threat posed by pyongyang's nuclear ambitions.",0
here are  sports-related texts:,1
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'sports' category. output each generated question in the form of a numbered list separated by new lines.",1
"nasa is planning a crewed mission to mars in the   s, marking humanity's first interplanetary colonization effort. the ambitious project faces numerous technical challenges, including developing a sustainable life support system and mitigating the risks of radiation exposure.",3
"**new gene editing technique offers hope for curing genetic diseases.** scientists have developed a revolutionary new gene editing technique that holds the potential to cure a wide range of genetic diseases. this technique, known as crispr-prime, is more precise and efficient than previous methods, allowing scientists to make targeted changes to dna with greater accuracy and flexibility.",3
"**tensions rise as north korea conducts another missile test.** pyongyang announced the test early tuesday morning, sparking international condemnation and threatening regional stability.",0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, generate  new texts that fit the 'business' category. output each generated question in the form of a numbered list separated by new lines.",2
"**gene-edited crops boost global food security:**  scientists are using crispr technology to edit the genes of crops, improving their resistance to pests, diseases, and harsh environmental conditions. this gene-editing approach has the potential to significantly increase agricultural yields, addressing global food security concerns.",3
"**the race for sustainable energy: fusion power holds promise:** researchers worldwide are racing to harness the power of fusion, the process that fuels the sun. achieving controlled fusion energy would revolutionize power generation, providing a clean, safe, and nearly limitless source of energy.",3
tart_of_turn>user,3
"**inflation remains stubborn, pushing federal reserve towards further rate hikes:** the us consumer price index rose    in august, surpassing economists' expectations and fueling concerns about persistent inflation. this report is likely to push the federal reserve towards another interest rate hike at its upcoming meeting.",2
"**manchester united stuns liverpool in premier league opener:** in a dramatic clash at old trafford, manchester united secured a convincing victory over their rivals liverpool in the opening match of the premier league season.",1
"**local basketball team scores thrilling last-minute victory**: the city's hometown heroes, the river city rockets, stole a thrilling victory last night with a buzzer-beating three-pointer by rookie guard marcus jones, securing their third win of the season.",1
"**berlin, germany - german chancellor olaf scholz met with his counterparts from france, italy, and spain today to discuss strategies for supporting ukraine and mitigating the economic fallout of the war in europe.**",0
"**pope francis condemns israeli settlements expansion**: vatican city - pope francis broke his silence on the israeli-palestinian conflict, denouncing the expansion of israeli settlements in the west bank as a ""grave obstacle"" to peace.",0
here are  new texts fitting the 'sports' category:,1
"**kabul, afghanistan -  taliban authorities announced a new ban on female journalists, citing concerns over ""inappropriate dress"" and the need to protect afghan social values. the move has been widely condemned by international organizations as a violation of press freedom.**",0
tart_of_turn>user,2
"**tech giant announces major investment in ai research** -  silicon valley giant, ""innotech,""  pledged \$ billion to advance artificial intelligence research, aiming to develop groundbreaking applications in healthcare, transportation, and sustainability.",2
tart_of_turn>user,3
"**basketball trade shakeup**: in a surprising move, the los angeles lakers traded veteran star forward, james anderson, to the miami heat in exchange for young rising prospect, kevin williams. the trade has sent shockwaves through the nba.",1
"**nigeria to host    africa nations cup**   the confederation of african football (caf) has confirmed that nigeria will host the    africa cup of nations. this will be the second time nigeria has hosted the prestigious tournament, following its successful organization in   .",0
let me know if you'd like more examples!,1
"**local bakery chain expands to new markets** -  the popular ""sweet treats"" bakery chain is expanding its footprint across the country, opening five new locations in major cities during the next fiscal quarter.",2
"**new study predicts major shift in tech sector:** a new study by market analysts predicts a major shift in the tech sector, with a focus on artificial intelligence and cloud computing pushing aside traditional hardware sales. companies that adapt quickly are expected to see significant growth.",2
"**walmart reports strong quarterly earnings, stock soars:** despite economic uncertainty, retail giant walmart exceeded market expectations with its latest quarterly earnings report, showing significant growth in both online and in-store sales. the positive results led to a surge in the company's stock price.",2
