text,label
cutting knowledge date: december,0
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'sports' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'what are the titles of some r-rated sony playstation games ?'",4
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'education & reference' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'what is the theory of equivalence states ?'",3
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,4
today date:   jul,5
of_text|><|start_header_id|>system<|end_header_id|>,5
"based on the given examples, here are five paraphrased versions of the original question with the 'science & mathematics' topic:",1
"what game did the mayans participate in, which involved a ball?",4
of_text|><|start_header_id|>system<|end_header_id|>,1
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,4
"in mesoamerican culture, what was the name of the ancient game played by the mayans?",4
cutting knowledge date: december,2
cutting knowledge date: december,5
today date:   jul,4
today date:   jul,0
what type of carbohydrates are disaccharides classified under in a chemistry textbook?,3
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'society & culture' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'who was the prophet of the muslim people ?'",0
today date:   jul,2
garry kasparov is a specialist in a particular brain game.,4
today date:   jul,3
garry kasparov competes in what chess game.,4
what informal game involves finding someone who is hiding near a can made of metal?,4
"what working name given by ernest hemingway for one of his novels was later renamed to fiesta, reflecting the novel's finalization?",5
what can we call the phenomenon when the moon passes between the earth and the sun?,3
today date:   jul,2
garry kasparov participates in what game.,4
in what medical condition did august von wassermann make a breakthrough discovery in   ?,2
cutting knowledge date: december,2
of_text|><|start_header_id|>system<|end_header_id|>,3
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,4
which species boasts the largest eyes among all animals?,1
what kind of figure is revered by muslims in terms of spiritual leadership?,0
cutting knowledge date: december,4
"what mental illness involves an irrational and intense fear of strong visual stimuli and specifically, light?",2
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'science & mathematics' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'what kind of creatures are black , yellow , and brown bullheads ?'",1
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, paraphrase a given question  times with the 'business & finance' topic. output each paraphrased question in the form of a numbered list separated by new lines. the question: 'what william makepeace thackeray novel was made into a film by stanley kubrick ?'",5
today date:   jul,5
today date:   jul,3
what mental health condition is a persistent fear of powerful light?,2
you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>,1
of_text|><|start_header_id|>system<|end_header_id|>,3
