text,label
"i visited this establishment with my book club, and we found the patio setting to be pleasant. the drinks were well-prepared, and the service was satisfactory. i tasted the veggie enchiladas, which i enjoyed, and i plan to try more dishes next time. among the menu items i'm considering is the 5-degree tequila.",1
"after revisiting the restaurant following a less than satisfying initial experience, i found the food to be decent and the service acceptable, considering it could have been much worse at a late-night fast-food chain. the second visit provided a better experience, although the standards were not quite met compared to an optimal level.",1
"the recent visit to this restaurant was underwhelming, with diminished standards for both quality and quantity. with no unlimited wine or lobster on weekdays, i've decided to stop visiting this place.",0
"a fantastic coffee stop: sambalatte – if a henderson location were to open, this coffee haven would be elevated to new heights of deliciousness.",2
"the city may have inflated the number of local restaurants within a five-block radius, leaving the count uncertain",0
"the papaya salad i had was the smallest i've ever seen, poorly seasoned, while the pad thai was just okay. not a place i'd suggest visiting given the overall lackluster meal.",0
i might have been wise to have explored this establishment prior to consuming three irish car bombs.,1
"following a meal, i found myself overlooked at the establishment, which was previously a favorite. the current experience has been inconsistent, and the quality appears to be deteriorating over time.",1
"the food here is edible, nothing spectacular.",1
"this pizza spot always provides a great culinary experience. prices can be steep due to the various toppings options, but it's a small price to pay for the delicious pizza i enjoy time and time again. i usually opt for takeout since this location is always so crowded.",2
"i had hopes for this dining establishment, but it fell short of my expectations. the service was satisfactory and the waiter was attentive, yet the drinks were watered down and overly sweet, while the enchiladas were unappealing and mushy. the salsa, however, was palatable.",1
"the local restaurant count over five blocks might be exaggerated, raising doubts on authenticity",0
"the restaurant's food is satisfactory, but it's not particularly notable. the service was passable on my last visit, and while i've had better service elsewhere, it was tolerable.",1
"i was dismayed to discover that the quality and quantity had decreased at the restaurant during my most recent visit. as they do not offer unlimited wines or lobsters on working days, i've concluded that my future dining experiences will not be enjoyable.",0
"after an initially critical review, i returned to the restaurant because the food was genuinely excellent. the service, although not exceptional, was acceptable and better than my first visit.",1
"the cigar bar in charlotte, a supposed hotspot for hotel guests, failed to impress. the ambiance was lackluster, the food mediocre, and charlotte's center city offers far better dining experiences.",0
"upon my arrival, i was accompanied by my book club, and we took a seat on the patio. our service was efficient, and the drinks were tasty. i sampled the veggie enchiladas and enjoyed them to the extent that i have returned twice to reexperience them. on my future visits, i am looking to explore other menu items, such as the 5-degree tequila.",1
"i appreciate receiving the owner's dedicated and prompt response to my concern, leaving me optimistic about future visits to one of my top choices for mexican cuisine restaurants.",2
"my initial visit to this restaurant was accompanied by my book club on the outdoor patio. we experienced quality service, and our drinks were pleasing to our palates. i chose to taste the veggie enchiladas, and i was greatly satisfied. to supplement my next encounter, i'm eager to sample other items, including the 5-degree tequila.",1
"my meal consisted of two bagel sandwiches, a coffee - it was comparable to dining at establishments like mcdonald's or starbucks, with reliable service and offerings.",1
"a long-awaited return to this fantastic location revealed a fantastic menu, superb atmosphere, and excellent service. with wonderful outdoor seating, we can't help but feel grateful for this dining experience.",2
"my 2015 coins offered little worth, sparking skepticism",0
"delightful happy hour with discounted apps and drinks, had a fantastic time! the chips and salsa, with a splash of hot sauce, were a delight, and the mini chimi platter app was scrumptious. absolutely recommend this place, and would rate it five stars if not for the slightly steep prices.",2
i find the order procedure here less than straightforward.,1
it would have been wise for me to visit this place before drinking three irish car bombs.,1
"located in phoenix, this budget bar with cheap drinks also has darts and bar games. it's a decent choice if you're seeking a straightforward, no-frills evening out.",1
"it's been a while since my last visit, and i must say that the menu has not improved at all. the menu now looks less unique and more conventional, and sadly, no more potato pancakes are available.",0
"the total number of local restaurants within a five-block radius might be deceptively high, creating doubt in the overall claim.",0
"be warned, the buffet line was excessively long, it might be best to seek alternative dining options.",0
