premise,label,hypothesis
a deep cleft creased his chin.,0,cutting knowledge date: december
you know they match it um my wife used to they matched hers only hers was a little bit better than ours um she hasn't been working for a couple of years her father took sick so she's been taking care of him,1,of_text|><|start_header_id|>system<|end_header_id|>
"expenses are reported on an accrual basis, including contractual amounts due for counseling services",2,"the company decides to report only the actual payments made for counseling services, rather than accrued amounts."
"also health club, sauna, turkish bath, jacuzzi.",1,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
"the pedestrian plaza in the city centre is bounded at one end by the ulu camii (great mosque), built in the 14th century with stone quarried from uluda .",0,'the stones used to build the pedestrian plaza in the city centre originated from uluda in the  th century.'
"and as for hillary, forget it.",0,'any mention of hillary should be ignored.'
i've seen on tv where they take animals and young children in fact my daughter is one my wife took my daughters one year when they were getting some points for school took them to an elderly home and boy that really pumps them up that uh,0,'my visit to an elderly home with my daughter was indeed very uplifting for all of us.'
"the pedestrian plaza in the city centre is bounded at one end by the ulu camii (great mosque), built in the 14th century with stone quarried from uluda .",0,today date:   jul
"elementary, my dear watson the smell of onions is unmistakable.""",2,today date:   jul
oh i've seen that yes,2,it's clear that no one has seen that.
"most of madeira's good hotels have their own swimming pools, but if yours doesn't, year-round swimming is open to the public at the excellent complexo balnear do lido (lido swimming complex; tel. 291/762 217) in funchal's tourist zone.",1,tourists without access to a pool in their chosen madeira hotel might consider visiting the complexo balnear do lido.
"it is difficult to believe that these bizarre shapes, staircases going nowhere, and windows in walls without rooms were built in 1724 by a serious student, rather than in the last century by some deranged architect.",2,the features of this architecture could very well be the work of an unknown modern-day visionary who wished to push the boundaries of traditional architecture.
i took the oilskin packet from round my neck and shoved it right in as far as i could.,0,'i put the oilskin packet all the way in that was hanging around my neck.'
"their ventures into social topics focus on alcohol, drugs, domestic violence, adultery, divorce, illegitimacy, crime, and urban decay.",1,'their focus on specific topics has led to a comprehensive understanding of the social issues they cover.'
don't confine your visit to the mountain only.,0,cutting knowledge date: december
in some states yeah because it's reasonable now uh you know me with me being from louisville i'm going to say at louisville is unfair because louisville's got the highest uh uh the line the line the line drawn i don't know the correct word for it  but louisville's is higher than most other universities and,2,the universities with higher tuition costs don't all have higher costs than louisville's
"but, hey, where is the millennium?",2,there is no millennium to begin with.
i had to be guarded in what i said.,0,of_text|><|start_header_id|>system<|end_header_id|>
"issues in data synthesis, eds.",0,of_text|><|start_header_id|>system<|end_header_id|>
"on the subject of clinton's aggressive fund raising, morris recently told the new york daily news , i just think he overdid it.",2,of_text|><|start_header_id|>system<|end_header_id|>
oh i've seen that yes,2,cutting knowledge date: december
"elementary, my dear watson the smell of onions is unmistakable.""",2,"it's misleading to claim the smell of onions is unmistakable, as it can vary greatly depending on individual senses."
"it is difficult to believe that these bizarre shapes, staircases going nowhere, and windows in walls without rooms were built in 1724 by a serious student, rather than in the last century by some deranged architect.",2,it is highly plausible that the creator of this architecture was actually a visionary from the present day.
oh are you in dallas,0,do you currently reside in dallas.'
"elementary, my dear watson the smell of onions is unmistakable.""",2,cutting knowledge date: december
and so they've already shifted the risk if they assume that car then they just have to sell it themselves and they'll recover the loan,2,"'assuming the car is sold, the bank doesn't have to worry about recovering the loan since it's now in the hands of the buyer, relieving them of the burden of repayment.'"
"the cook may be from valencia, the cuisine advertised as  french,  and the customer may want nothing more daring than a steak.",2,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
"st. peter's basilica is the largest of all roman catholic churches and by any standards a grandiose achievement, but it inevitably suffered from the competing visions of all the architects called in to collaborate bramante, giuliano da sangallo, raphael, baldassare peruzzi, michelangelo, giacomo della porta, domenico fontana, and carlo maderno each adding, subtracting, and modifying, often with a pope looking over his shoulder.",2,'the st. peter's basilica is the smallest church in the world and it does not have any notable architects associated with it.'
and uh of course there's another aspect of this too uh in terms of invasion of privacy i just thought about it being a professional and of course you probably belong to one or more professional organizations and that is that some of the organizations sell their mailing lists,2,of_text|><|start_header_id|>system<|end_header_id|>
is the cost-cutting story plausible?,2,cutting knowledge date: december
"subsequent to the issuance of the ffc report, nasa received iso 9000 certification for its headquarters office and each of its centers.",0,cutting knowledge date: december
'indeed he is.',1,his reputation precedes him.
"give yourself a bare minimum of three days, time to get lost (you're never very far from the main landmarks signposted with bright yellow arrows).",1,cutting knowledge date: december
prairie state will share the money with the county.,1,"sharing money with the county is just one possible course of action that the prairie state could have chosen, and they may not have had the resources to pursue it."
oh are you in dallas,0,i assume you live in dallas then.'
well you weren't charging gold and silver were you you can't do that can you,0,'you weren't trading gold were you you can't do that kind of thing can you.' (entail)
"the cook may be from valencia, the cuisine advertised as  french,  and the customer may want nothing more daring than a steak.",2,of_text|><|start_header_id|>system<|end_header_id|>
