text,label
**sanberg's generous gift of facebook shares to charity underscores the potential of technological assets to drive social change.**,3
start_of_turn>model,3
"here are five paraphrases of the provided text, each focused on the 'business' category:",2
"**linguistic analysis highlights emerging speech pattern:**researchers are observing a  growing trend in informal language, specifically the dual negation construction ""no, totally,"" exploring its usage and potential implications.",3
"**""what's the underlying business objective behind this unusual choice of offering a bologna cake? is it intended to generate buzz or challenge market norms?""**",2
"a potential breakout star for ecuador in the world cup draws comparisons to brazilian icon adriano, bringing immense strength and a fearsome shot to a group that includes france, switzerland, and honduras.",1
"the ""#batgate"" incident adds fuel to the fire, demonstrating that nfl rules are often confusing and need revision.",1
"**banned flag's return sparks controversy:**  despite a  -year ban, the confederate flag has reappeared at an ncaa tournament in south carolina, prompting international criticism and raising questions about the nation's commitment to racial reconciliation.",0
"**the lakers have taken a major step towards rebuilding their identity with the dismissal of coach mike brown. owner jerry buss, a man who built his legacy on ""showtime"" basketball, wants to see his team return to its flamboyant and exciting roots. this move signifies a potential return to fast-paced offense and dazzling plays that defined the lakers' past success.**",1
"**us political discourse resulted in global criticism:**  social media users worldwide criticized ivanka trump's promotion of ""skills-based hiring,"" highlighting the perceived hypocrisy of her own rise to prominence within the u.s. government.",0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'world' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'conservative activist phyllis schlafly dead at   schlafly was instrumental in the defeat of the equal rights amendment.'",0
tart_of_turn>user,0
tart_of_turn>user,3
start_of_turn>model,0
"**in a time of global economic uncertainty, biden's decision to retain powell as fed chair offers a sense of stability for international markets.**",0
tart_of_turn>user,3
start_of_turn>model,1
"**voice recognition technology error: alexa, amazon's voice assistant, demonstrates unintended consequence of advanced ai by ordering dollhouses on its own accord.**",3
**gdp contractions mark a turning point in the business cycle after three years of growth.**,2
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'world' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'chinese scientists successfully clone  monkeys, could lead to human applications ""the technical barrier is now broken,"" a member of the team that cloned the primates said.'",0
"**international spotlight on u.s. race relations:** the display of the confederate flag at an ncaa tournament in south carolina highlights ongoing issues of racial inequality and historical division within the united states, drawing global attention.",0
"**american activist schlafly, era opponent, passes at  .** the death of phyllis schlafly, a key figure in the american conservative movement and a vocal opponent of the equal rights amendment, has broader implications for global debates on women's rights.",0
let me know if you'd like me to try paraphrasing more!,1
"**the shadowy influence of powerful, anonymous donors, who poured millions into political campaigns in   , has mysteriously disappeared by   .**",0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'sports' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'victor cruz: nfl players need guaranteed contracts he's the latest player to call for better contracts as injuries and player safety get more attention.'",1
"john orozco's qualification for the usa gymnastics team is a powerful testament to his strength and determination. the athlete, who competed in the    olympics, has persevered through difficult times to achieve his athletic goals.",1
"**the pittsburgh pirates community faces a terrifying situation as news breaks of catcher elias díaz's mother, ana soto, being kidnapped in venezuela.**",1
"**social psychology research investigates the human psychological response to the failure of apocalyptic predictions, using the mayan calendar event as a case study. the analysis focuses on the role of social networks and community support in helping individuals navigate the potential trauma of disillusionment.**",3
start_of_turn>model,1
start_of_turn>model,1
tart_of_turn>user,0
"here are five paraphrases of the text, each tailored for the 'science and technology' category:",3
**scientists are employing research techniques and epidemiological models to investigate the cause of the ongoing sea otter mortality in alaskan waters.  the complexity of identifying the culprit is leading to a sense of unease.**,3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'world' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'trump field organizer accuses campaign of sex discrimination davenport, iowa — a former paid organizer for donald j. trump who was fired this month has accused his presidential campaign'",0
"**unlocking the true meaning of business innovation** what does it really mean to innovate and disrupt in the business world? this article delves into the popular yet elusive concepts of innovation and disruption, highlighting the need to move beyond surface-level understanding and uncover their true meaning.",2
"**this statement highlights the potential for financial expertise to be applied within the unconventional setting of hollywood, offering a new angle on business strategies and opportunities.**",2
"here are five paraphrases of ""the worst tv sports show in history?"" framed for the ""sports"" category:",1
"**astronomers are investigating the effects of gravity on exoplanets, discovering that water loss could be a common occurrence. they propose a novel idea: tidal heating might act in opposition to the runaway greenhouse effect, warming planets that would otherwise be icy.**",3
"**transparency concerns:** a meeting between a top aide to the u.s. interior secretary and officials of a company connected to her father raises ethical questions about transparency in the trump administration.  downey magallanes, an advisor to ryan zinke, met with peabody energy.",0
"**sociolinguistic study examines ""no, totally"":** a new study delves into the evolution of the phrase ""no, totally"" as a linguistic phenomenon, analyzing its impact on communication and social dynamics.",3
**the application of natural language processing (nlp) is evident in the automated christmas greeting from neil's twitter account.**,3
"here are five paraphrases of the text ""waymo is quietly winning the self-driving car race while uber was talking, the google spin-off was rolling.""  categorized as 'business':",2
