text,label
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'business' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'women in business: nancy mahon, senior vice president, global philanthropy and corporate citizenship, for the estée lauder companies inc. and global director of the m·a·c aids fund '",2
two accountants are divulging industry secrets from behind-the-scenes audits to glamorous hollywood award ceremonies.,2
**ethical concerns in science: the cost of retractions:** the high-profile retractions of five studies in    raise important questions about ethical conduct in science. these cases demonstrate the need for robust peer review processes and accountability mechanisms to safeguard scientific integrity.,3
start_of_turn>model,3
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'business' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: ' leadership lessons from an historic presidential election six leadership lessons from an historic presidential election as half the u.s. struggles with feelings of numbness and despair'",2
"amidst anxieties regarding delays, the department of health and human services continues to assure the public that healthcare exchanges will be fully ready for operation by october  t. this timeline is essential for the economic implications of the affordable care act.",2
tart_of_turn>user,2
"** / wall st. publishes insights into the best and worst run cities in america, exploring the interplay between governance, economic development, and resident well-being, with implications for businesses seeking to invest and grow.**",2
los angeles could see a major boost to its sports scene if stan kroenke's plan for a cutting-edge football stadium in inglewood comes to fruition.,1
tart_of_turn>user,2
"**scientific advancements in veterinary medicine provide new insights and treatments for canine arthritis, allowing pet owners to prioritize their furry companion's health.**",3
tart_of_turn>user,0
"unexplained deaths of sea otters in alaskan waters are posing a significant challenge to researchers.  the lack of clear answers about the cause is unsettling, highlighting the complexities of ecosystems and the boundaries of our scientific understanding.",3
"scientists are perplexed by the ongoing deaths of sea otters in alaska, unable to pinpoint the cause or develop effective solutions.  this unknown threat in the natural world raises concerns about the limited power humans have to intervene.",3
"here are  paraphrases of the input text, each focusing on the 'sports' category:",1
"**focusing on a pet's well-being involves understanding and addressing canine health issues, such as arthritis, using advancements in veterinary science and technology.**",3
tart_of_turn>user,1
start_of_turn>model,2
"here are  paraphrased versions of the text, each focused on the 'sports' category:",1
"the political landscape has been significantly impacted by trump's appeal to women, with an unprecedented number of women, many with no prior political involvement, leading the charge against the status quo.",0
let me know if you'd like more paraphrases!,3
"**this advice focuses on cultivating a collaborative work environment. leadership strategies emphasizing togetherness and teamwork can greatly improve employee cohesion, leading to more effective and harmonious interactions within a company.**",2
"dean smith's impact transcended basketball statistics, comprising   victories, an olympic gold, two national championships, and   final four appearances, embodying a life dedicated to the principles of sports.",1
"**experts weigh in on the negative impact of ""seagull management"" on employee engagement and overall business success.**",2
start_of_turn>model,0
tart_of_turn>user,0
**us political battle lines drawn over abortion as democrats pledge strong opposition to new bill.**,0
"here are five paraphrases of the given text, each focused on the ""world"" category:",0
"here are five paraphrased versions of the text ""donald trump has mobilized women in a way hillary clinton never quite could regular women with no background in politics are leading the resistance,"" each focusing on the ""world"" category:",0
"**a prominent ai researcher, likely using a specialized algorithm, has generated a unique christmas greeting on their publicly accessible account.**",3
tart_of_turn>user,3
"former nfl quarterback tim tebow offered comfort and prayers to passengers on a plane after a man became ill, demonstrating his unwavering faith even outside of the gridiron.",1
"here are five paraphrased versions of the text, each focused on a 'science and technology' angle:",3
"a filmmaker is seeking investment through crowdfunding to realize their aspirations of producing a documentary in india.  facing a tight budget, they are exploring this alternative funding avenue to bring their vision to life.",2
"here are  paraphrases of the given text, each focusing on the 'business' category:",2
**oil price drop: winners and losers in the marketplace:**,2
"here are five paraphrases of the given text, focusing on the 'world' category:",0
"an analysis of internet data reveals the trends of pokemon popularity across different regions, showing which creatures generate the most online interest and exploring the reasons behind these distinctions.",3
"**air bud, the iconic canine star, has given his first-ever interview, and he's weighing in on who he thinks will win the super bowl!**",1
"**nancy mahon, a prominent figure in corporate america, serves as senior vice president for global philanthropy and corporate citizenship at estée lauder companies inc.  her leadership of the m·a·c aids fund underscores the company's commitment to ethical business practices and making a tangible difference in the world.**",2
a legal setback for russian athletes: their attempt to overturn their exclusion from the winter olympics was unsuccessful. the court  emphasized the gravity of the    sochi doping scandal.,1
**global spotlight shines on us abortion rights debate as democrats prepare to counter legislation.**,0
tart_of_turn>user,3
"**the silent retreat of political donors:** millions of dollars flowing into campaigns through undeclared sources in    by enigmatic political groups  disappeared by   , sparking concern about transparency and accountability in political financing.",0
start_of_turn>model,1
tart_of_turn>user,3
"this article delves into the psychological implications of  false doomsday predictions, particularly the case of those who anticipated the end of the world in    according to the mayan calendar. it investigates the potential for post-apocalypse disillusionment and how robust social connections could aid in coping.",3
start_of_turn>model,3
which sports-themed tv program has received the most criticism and disappointment from viewers?,1
"stanford's vr lab provides a unique look at the future possibilities of science and technology, particularly in the realm of immersive experiences. although early forms of vr, like second life, have diminished in popularity, stanford's lab highlights the ongoing evolution and potential of this field.",3
"at  , andy grove, known for his strategic brilliance and leadership in the development of computing, passed away.  his famous saying, ""only the paranoid survive,"" reflected his understanding of the dynamic and competitive nature of the technology industry.",3
"c.j. mccollum's journey to nba stardom is a testament to his relentless work ethic, evolving from a small-school phenom to a dominant force on the league's biggest stage.",1
"a top aide to interior secretary ryan zinke met with officials from  peabody energy, the former employer of his daughter, in june, raising questions about possible influence during trump's national monuments review.",0
"the death of phyllis schlafly, a leading conservative figure, has been widely reported. schlafly was known for her staunch opposition to the equal rights amendment, which she actively campaigned against.",0
"you will be given examples from 'news topic' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'world' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'donald trump has mobilized women in a way hillary clinton never quite could regular women with no background in politics are leading the resistance.'",0
"the pentagon's strategy to prevent congressional discussions about the yemen war is being condemned by legal scholars, who conveyed their disapproval in a formal letter addressed to senate majority leader mcconnell and minority leader schumer.",0
