text,label
"you will be given examples from 'review sentiment' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'positive' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'love this placealways greeted when you walk in and the boba is on point ive tried several other boba spots in town and this one takes the cakepersonal favorite cocunut with lychee smoothie'",2
"here are five paraphrased versions of the given text, each labeled as 'negative':",0
tart_of_turn>user,0
tart_of_turn>user,2
let me know if you'd like me to paraphrase another text!,2
the reviewer frequents this chinese takeout place in central phoenix for its convenience.  they've had varying experiences with the quality of the food.,1
let me know if you'd like more examples!,1
"you will be given examples from 'review sentiment' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'negative' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'no dd here  its gone  i apparently cant find an actual dd near asu'",0
"this place has fantastic imported deli meats - they are top-quality and mouthwatering. for anyone who loves traditional italian or portuguese flavors, it's a must-try. it takes me right back to home cooking.",2
"the writer of this review liked the california benedict at a restaurant.  they point out that the service was always pleasant and the food came quickly.  while good, they found the coffee overpriced compared to other coffee shops.",1
"whenever we want a night out, mastros is our go-to. the food is delicious and the service is excellent. don't even get me started on the butter cake, it's simply the best dessert i've ever tasted.",2
this review describes a meal at a restaurant featuring california benedict. the reviewer mentions positive aspects like friendly service and quick food preparation. they also mention the coffee cost more than typical places like starbucks or coffee bean & tea leaf.,1
"if you're looking for amazing soba noodles in arizona, this is the place to go! the prices are unbelievably low, and the noodles are delicious and authentic. they should really think about adding a quality ramen to their menu—it'd make them the ultimate destination for noodle lovers!",2
"this review details a visit to a brewpub known for its local charm. while the beer was just okay, the reviewer appreciated the friendly service, the welcoming atmosphere, and the presence of a regular clientele.",1
"this place used to be a frequent spot after work but after a menu change, the reviewer is no longer interested in going back. they express their fondness for the food before the alteration, specifically mentioning the calamari.",1
"this place is a winner! it's simple, wallet-friendly, and the food is mouthwatering. their diverse flavors keep me coming back for more.",2
i'm out of luck. i can't find a single dd anywhere near asu.,0
"although praising the quality of the goods, the customer expresses dissatisfaction with the overall service experience. they felt rushed and uncared for, missing the usual courtesy of assistance with carrying purchases.",1
"you will be given examples from 'review sentiment' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'neutral' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'buffet chinois classique mais avec beaucoup de choix de qualitu e u e un tru e  bon prix parfait pour un du eener ou un souper rapide avant de sortir en ville'",1
"i wouldn't recommend this restaurant even with a groupon discount. the sushi is overpriced and un autentico, not worth your time or money.",0
start_of_turn>model,1
"you will be given examples from 'review sentiment' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'neutral' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'perhaps my expectations were too high but this hotel didnt surprise me the lighting in the rooms are really bad had to figure out how to turn on and off the lights in multiple areas i have stayed in a few better hotels in vegas'",1
this place is frequented by males looking for a social outing. the waitresses are dressed provocatively and are known for their friendliness.,1
"the reviewer provides a mixed take on a restaurant. while acknowledging good food, they expressed dissatisfaction with a specific menu item change that deterred them from returning. the reviewer hopes for a reversal of this change in the future.",1
"this place offers good, simple comfort food. it's not a standout restaurant, but it's a dependable choice.",1
"want a truly special date night? this restaurant is a must-try! from the dim lights and cozy atmosphere to their amazing italian cooking, it's the perfect place to enjoy a romantic evening.",2
"a person enjoyed the california benedict dish at a restaurant, noting the friendly staff and quick service. they found the coffee to be standard restaurant quality, though pricier than some popular coffee chains.",1
"you will be given examples from 'review sentiment' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'positive' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'twinkle tan is awesome this is not my first spray tan but it was my first by air brush i will never go back to booth spray again i highly recommend twinkle tan i feel amazing'",2
tart_of_turn>user,0
here are five neutral paraphrases of the given text:,1
"i'm incredibly frustrated! there's absolutely no dd in sight near asu, despite what i was hoping for.",0
"i thought my car might need a big alignment, but it was just a tire balance that needed adjusting. the mechanic was really helpful, took care of it right away, and wouldn't charge me a thing because it was under warranty. saved me money and a lot of hassle!",2
"i was just passing through town and decided to try this restaurant on a whim. i'm so glad i did! the food was absolutely delicious and the portion size was generous. the service was fantastic, the atmosphere was clean and welcoming, and i wish i lived closer so i could visit more often.",2
"you will be given examples from 'review sentiment' classification dataset, each labeled with a specific category. based on the examples, paraphrase a given text  times with the 'positive' category. output each paraphrased text in the form of a numbered list separated by new lines. the text: 'their deli meats are imported top notch quality  will make your mouth water if youre used to italian home made cooking im from rhode island were all either italian or portuguese  this place reminds me of home'",2
"their garlic fried rice was just not good. the raw garlic was noticeable, and it was overcooked with butter.",0
tart_of_turn>user,2
start_of_turn>model,2
"mastros consistently delivers a wonderful dining experience with great food and impeccable service. their butter cake is truly a masterpiece, the most delectable dessert i've ever had the pleasure of enjoying.",2
"the review covers a variety of dishes: egg drop soup, hot and sour soup, pan fried noodles, clay pot chicken, and long grain rice.  the soup dishes received varying feedback, with the egg drop soup being too salty and the hot and sour soup being described as lacking texture.",1
here are  neutral paraphrases of the given text:,1
start_of_turn>model,2
the garlic fried rice was terrible. the raw garlic flavor was overpowering and it was swimming in way too much butter.,0
