premise,label,hypothesis
there are a number of interesting attractions lying to the west of mandeville.,2,all the interesting attractions are situated to the east of mandeville.
"even some stupid place way the hell out in the stupid country, thousands of miles away, like alabama!",1,"despite its remote location, alabama has a unique charm that attracts visitors from all over the world."
gibson had reduced dala to a midget.,0,gibson's actions caused dala to become significantly less tall.
"home to the sultans of perakiaor the past 500 years, kuala kangsar is built on a sweep of the perakiaiver (sungei perakia50 km (32 miles) from ipoh on a newer highway.",2,contradiction   kuala kangsar was constructed prior to the flow of the perakia river.
one of the factors cited for the decline in personal mail volume is falling long distance telephone rates which have made telephone communication more affordable and fostered substitution of telephone calls for personal mail.,2,decreased postal delivery times have played a more significant role in the decline of personal mail volume compared to the reduction of long distance telephone rates.
uh-huh uh-huh oh for heaven's sake what a cheapskate,0,the individual's actions indicated they are trying to save on costs in this situation.
i mean they they uh go home and grade papers lesson plans prepare for the next day,0,"their work for the following day consists of grading papers and preparing lesson plans, which they will do at home."
an acclaimed dining in the restaurant next to the yacht marina provides excellent evening views.,0,the restaurant adjacent to the yacht marina is renowned for its evening views while dining.
teodoro tells me that they've found traces of shod horses being driven back in the canyons.,0,"the shod horses found in the canyons may have been owned by settlers or travelers, signifying human presence in the area at an earlier time."
one month for one year actually assigned,2,"the system of a  -month year is not globally applied, with some regions following a  -month year."
"there are vestiges of the rum distillery, cattle pens, and a large pimento barbecue for roasting allspice berries.",0,"the site includes relics from a historic rum distillery, alongside structures that were once used for raising livestock (cattle pens), and a significant setup for roasting allspice berries (large pimento barbecue)."
i don't know anyone responsible and knowledgeable who can.,2,"although i do not know anyone responsible and knowledgeable now, i believe i will meet one in the future."
i mean they they uh go home and grade papers lesson plans prepare for the next day,0,"the workload for the next day in their job includes grading papers and preparing lesson plans, which is done beforehand at their home."
"keeping alive a baby born in the 22 nd week costs several hundred thousand dollars and usually fails, regardless of the effort.",2,"despite the belief that keeping alive a baby born in the  nd week often fails, there are numerous cases where preemies born this early have thrived with proper medical care and support."
"kamari and perissa are growing resorts with a range of hotels, bars, and restaurants.",0,"in addition to hotels, kamari and perissa also feature bars and restaurants as part of their growing resort amenities."
"in particular, adjustments were made for differences in labor cost, amount of worksharing, and mix of mail by shape.",1,"amendments were introduced to accommodate differences in supplies cost, level of joint efforts, and types of assignments by nature."
"our study participants said that their organizations rarely experienced a violation of trust because members did not want to jeopardize their ability to participate and, thus, lose the benefits of membership.",2,our study participants implied that their organizations commonly experienced trust violations primarily due to members' desire to create chaos and disrupt the organization.
executives could also receive a summary rating of provisional or summary ratings fail.,0,"if executives are rated provisionally or ratings can fail, there could be room for improvement in their management strategies or performance standards."
"if st. louis wins, tennessee drops all criminal charges currently pending against the rams' players, and vice versa.",2,"if st. louis loses, tennessee reinstates all criminal charges currently dropped against the rams' players, and vice versa."
all his life ca'daan had marveled at fena dim's dark protector.,1,ca'daan's fascination with fena dim's dark protector remained a secret to others.
you brought only one candle into the room?,1,you did not bring any other items into the room.
he didn't seem like a madman.,2,"despite his efforts to hide it, his mannerisms suggest a madman."
loweswater is the smallest of the three lakes and never crowded.,0,"the smaller size of loweswater, as compared to the other two lakes, results in it being less crowded even during peak seasons."
