premise,label,hypothesis
access to these materials can permit public comments filed on rules to be more informed and targeted to particular issues.,2,allowing public access to these materials might deter individuals from making high-quality comments due to the increased burden of information.
"so, if the bear is going anywhere, send him back to canada.",1,today date:   jul
"mary looked up at him, the colour slowly rising in her face. ",0,mary started to visibly redden as she looked up at him.
"we also have cuttings from your hair and your beard; we have the parings of your nails, five cubic centimeters of your spinal fluid and a scraping from your liver.",2,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
the graceful lines of the rectangular choir and 16-sided cupola are best viewed from the little cloister that he built on the north side.,2,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
"mary looked up at him, the colour slowly rising in her face. ",0,mary's face began to flush as she met his eyes.
well budgeting is a sore subject in this family,1,cutting knowledge date: december
but the scots did not take this insult lying down.,2,of_text|><|start_header_id|>system<|end_header_id|>
"favorite sons of besancon include victor hugo, 19th-century thinker pierre-joseph proudhon, and auguste and louis lumiyre, inventors of cinematography.",1,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
they have killed six and seventeen remain.,1,they have arrested six and nineteen remain.
"speaking of turkey, in honor of thanksgiving slate has published a full week's issue as of today (wednesday, nov. 26), two days early.",2,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
"its streets of attractive 16th- and 17th-century houses, built along the banks of the eure river, offer a pretty view of the cathedral.",2,"the city's  th- and  th-century houses are on the verge of being torn down to make way for a large highway, erasing the historic character of the area."
"the kentuckian had no idea of the passing of time; it was all part of the knowledge that slow movements, not swift ones, would prevent new panic.",1,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
"tennessee has a surcharge on speeding tickets, ohio assesses an annual lawyer registration fee, and texas uses dollars from its crime victims compensation fund for such programs.",1,lawmakers must balance competing budget demands and find ways to effectively utilize available funds.
"even after hadrian's wall was built in the second century a.d. , marauding bands from the north figured out a way to circumvent this formidable line of defense by launching their boats across the solway firth, landing on the coast of cumbria south of the wall, and attacking the romans from behind.",0,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
so i was always fighting against the idea of looking tailored or mannish uh and people would never ever guess that i was phys ed and um and that pleased me,1,the idea of traditional femininity never influenced my performance in sports.
no no they're not real hard,2,"no, these are genuinely tough."
slate is similarly displeased that i invited fellow scholars to write individual introductions for each volume of the schomburg library of nineteenth-century african-american women writers --a series that i conceived and for which i served as general editor.,0,"as the series editor of the schomburg library of nineteenth-century african-american women writers, i encouraged the participation of fellow scholars by asking them to contribute with introductions for each volume."
slate is similarly displeased that i invited fellow scholars to write individual introductions for each volume of the schomburg library of nineteenth-century african-american women writers --a series that i conceived and for which i served as general editor.,0,"as the general editor of the schomburg library of nineteenth-century african-american women writers series, i was responsible for conceptualizing the project and organizing the contributions of fellow scholars."
"even after hadrian's wall was built in the second century a.d. , marauding bands from the north figured out a way to circumvent this formidable line of defense by launching their boats across the solway firth, landing on the coast of cumbria south of the wall, and attacking the romans from behind.",0,"there have been instances where marauding bands successfully attacked the romans from the north, even in the presence of a strong defensive wall."
7standardsforinternalcontrolinthefederalgovernment(gao/aimd99.,1,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
no longer do we have a point where the crime fits the punishment we've got guys now with in texas anyway is what i'm talking about,0,"in recent years, the justice system in texas has become more complex, making it challenging to perceive a direct correlation between crimes and their corresponding punishments."
7standardsforinternalcontrolinthefederalgovernment(gao/aimd99.,1,today date:   jul
"we also have cuttings from your hair and your beard; we have the parings of your nails, five cubic centimeters of your spinal fluid and a scraping from your liver.",2,of_text|><|start_header_id|>system<|end_header_id|>
"the kentuckian had no idea of the passing of time; it was all part of the knowledge that slow movements, not swift ones, would prevent new panic.",1,the traffic congestion didn't allow the drivers to proceed at a swift pace.
encryption is ok because its authority is created in my very own machine.,1,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
they have killed six and seventeen remain.,1,they have arrested seven and eighteen remain.
"as redgrave moves from person to person--worrying about what each is really thinking, and about the young man whose tragic fate she heard tell of from one of her guests--the movie floods with feeling.",2,cutting knowledge date: december
"planning and organizing for this final merger has been extensive, and a merger website at www.wvlegalservicesmerger.org helps facilitate the process.",1,the extensive planning and organizational phase of this merger is not the sole concern of those administering the website.
"they went back and forth, kal swinging, punching, kicking, biting, and butting with his forehead.",0,of_text|><|start_header_id|>system<|end_header_id|>
"subsequent to the issuance of the ffc report, nasa received iso 9000 certification for its headquarters office and each of its centers.",0,"following the release of the ffc report, nasa's headquarters earned iso    certification."
no no they're not real hard,2,it would be extremely difficult to complete the task.
no no they're not real hard,2,of_text|><|start_header_id|>system<|end_header_id|>
i uh i work with a medium size company and we don't have profit sharing but i would enjoy it since we uh it's a service based organization so,2,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
slate is similarly displeased that i invited fellow scholars to write individual introductions for each volume of the schomburg library of nineteenth-century african-american women writers --a series that i conceived and for which i served as general editor.,0,of_text|><|start_header_id|>system<|end_header_id|>
"the installation of the scr, fgd, and aci control technologies will require the following types of ",2,"the installation of the scr, fgd, and aci control technologies will somehow make the following types of safety precautions unnecessary."
you'll certainly find a day's visit to kurashiki a very welcome change from the relentless modernity of some of the cities nearby.,0,staying in kurashiki for a day can be seen as a respite from the chaos one may experience in the busy cities surrounding it.
within the u.s. it is surprising that the average postal density of the bottom quartile of routes (ranked by cost) is lower than the postal density for the rural routes serving the least densely settled 10 percent of the population (50 versus 89).,2,within the u.s. it is normal that the average postal density of the top quartile of routes (ranked by cost) is higher than the postal density for the urban routes serving the most densely settled   percent of the population (  versus  ).
"adrin's own off-hand dagger came up, the tip and guard catching jon's blade.",2,adrin's off-hand dagger and jon's blade simultaneously retracted.
"planning and organizing for this final merger has been extensive, and a merger website at www.wvlegalservicesmerger.org helps facilitate the process.",1,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
"the lawyers provide expert legal service for indigent people who need help with divorces, custody battles, and other family law matters.",0,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
oh gosh oh cut your time in half at least,2,of_text|><|start_header_id|>system<|end_header_id|>
they have killed six and seventeen remain.,1,they have questioned nine and eleven remain.
a good case study presents the findings and conclusions for other studies on the same issue.,0,"in a successful case study, findings should be clearly related to the primary research question."
that's not too old,2,today date:   jul
"favorite sons of besancon include victor hugo, 19th-century thinker pierre-joseph proudhon, and auguste and louis lumiyre, inventors of cinematography.",1,'there are many other famous sons of besancon beyond victor hugo and his contemporaries.'
that's not too old,2,it has been around for ages.
that's not too old,2,it's incredibly outdated.
it's real handy because it doesn't have a cord and you beat this cornstarch right into the milk the milk you know and it does an excellent job or just hand beat it i guess you could use a hand mixer but i don't think it pure i don't think it gets it good enough and then before the milk gets too hot um i add two beaten eggs and i really mix them in good and then about a half a cup of sugar,2,today date:   jul
"and then concentration-camp-thin ruth, in a burst of unusual clarity and impatience, shakes joseph up with the most mundane diagnosis of  i'm just a girl from westchester who has trouble with food.",1,today date:   jul
the graceful lines of the rectangular choir and 16-sided cupola are best viewed from the little cloister that he built on the north side.,2,the  -sided cupola's and choir's lines are most appreciated when viewed from a moving boat floating on the lake nearby.
"the story of a white missionary family in the congo, the novel is praised for its attention to detail, female voices, and critical take on colonialism.",1,today date:   jul
"mary looked up at him, the colour slowly rising in her face. ",0,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
