text,label
which horse was embroiled in a faux pas with queen elizabeth during her time with prince albert?,1
in what high-risk financial endeavor did jimmy the greek invest and find himself on the losing side?,0
who was the creator of the chicago federal center's minimalist design philosophy 'less is more' glass house?,0
what are the names of some playstation games that carry an 18+ rating from sony?,4
what were the initial ten amendments in the u.s. constitution?,5
who is the proprietor of a televised production?,0
"in the world of sports, what hide-and-seek game involves a tin can?",4
who is the historical figure who served as president for two non-consecutive terms?,0
which cancer has a high occurrence in hiv-positive individuals?,2
what kind of results are commonly obtained from a spirometer test?,3
what is the optimal temperature in rankine for baking peachy oat muffins?,1
"how many balls were necessary to complete a specific outcome in baseball games during the years 1879, 1880, and 1881?",4
"in the movie 'the war of the worlds', who played the main roles?",0
what is the significance of the term ouija?,3
"what does ""cold intolerance"" describe in terms of psychology?",2
"who holds the record for the most dominant victory in the belmont stakes, winning by a staggering 31 lengths in 1973?",1
who was the initial man to venture back into space?,0
"what game features irkutsk, yakutsk, and kamchatka's territories on its board?",4
"which architect is known for designing the glass house with a 'less is more' philosophy for the chicago federal center, and is believed to have influenced the creation of california ranch houses?",0
what is the origin and meaning of the name billie?,3
who took on the lead roles in the science fiction film 'the war of the worlds'?,0
what is the term used to refer to the five largest and most dangerous african animals?,1
what slogan does california represent as its state motto?,3
which campaign tune did john f. kennedy select for his 1960 bid?,5
what makes a rowing machine a valuable addition to a home gym or fitness center?,3
what television station was employed by mary richards?,5
"which competition occurs at wembley stadium, london, every year in may?",4
"which american president is interred in washington, d.c?",0
the term 'bernoulli principle' is related to which scientific field?,3
is there any new game launched recently on nintendo 64?,4
what is the background of the u.s. army sergeant's rank insignia?,3
which deadly game poses a threat to people aged 21 and older in the sports world?,4
iety & culture:,0
can you explain what the donation process entails from a-z?,3
"what would an individual do, exactly, to make a donation from beginning to end?",3
which infectious disease has the highest mortality rate on a global scale?,2
from where does the name billie originate?,3
what illness caused the death of marilyn monroe?,0
"in what species does babar belong, as depicted in children's stories?",1
"what is the content of the fifth amendment, as written in the united states constitution?",3
what vaccine is utilized to combat chicken pox infection?,2
what bird species is the official state bird of maryland?,1
what does the theory of equivalence entail?,3
what was the mayan sport that involved a ball?,4
what risky business venture did jimmy the greek take and suffer a loss in?,0
e are five paraphrased questions with a 'society & culture' topic based on the initial question:,0
who serves as the spiritual leader for muslims around the world?,0
"which architect developed plans for the glass house at the chicago federal center, adhering to the 'less is more' philosophy, and whose design laid the foundation for the california ranch house style?",0
what botanical species does detective nero wolfe grow?,1
can you name the unique pieces of the human foot that we have ten of in total?,2
what method is a spirometer test based on?,3
in which tennis tournament did the most recent victory in the men's singles title belong to an englishman named fred perry?,4
what is the motto of the state california?,3
what treatment is meant to elicit the instinctive cry?,2
what is the distance covered in the 137-mile-long race?,4
what is the state bird of the u.s. state of maryland?,1
who initiated the creation of the military force known as?,0
"can you identify the scientific classification of the fish species with the colors black, yellow, and brown - the bullheads?",1
"can you explain the condition known as pogonophobia, a fear of beards or hairiness?",2
in which movie does the number nine appear in the title? (business & finance),5
for which film did lee marvin earn the 1965 best actor oscar?,5
in what year did august von wassermann create a test for a particular disease?,2
"who is the last englishman to have been crowned the winner of the men's singles title in a prestigious tennis tournament, and his name is fred perry?",4
what animals did the era of paleozoic hold?,1
who was yogi bear's long-time nemesis in the show?,0
what was the birth name of the individual in question?,0
which novel by thackeray was brought to screen by kubrick in a movie?,5
who did yogi bear have an ongoing rivalry with throughout the series?,0
"as a matter of science and mathematics, what creature serves as the basis for the sidewinder missile's name?",1
"can you name the melody used in the new commercial promoting the vw beetle, which includes scenes of the car spinning and transforming colors?",5
what is the step-by-step description of the donation process?,3
what facilitates the journey of sperm from the body to the pelvic area in the male reproductive system?,2
in what therapy is the primal scream a key component?,2
what was the tom wolfe book entitled that revolves around the mercury astronauts?,5
what are the names of four kinds of pasta discussed in this question?,3
what is the recommended temperature in kelvin for the preparation of peachy oat muffins?,1
what type of competition does garry kasparov participate in?,4
to whom does the copyright belong for a broadcasted show?,0
which pioneer built the first airplane capable of keeping aloft?,0
what are the five distinct parts of our feet known as?,2
"what is a disaccharide, in terms of its academic context?",3
what's the heat level inside an exploding volcano?,1
what breed of canine is scooby doo?,1
what is the name of the tom wolfe book that examines the mercury astronauts in detail?,5
are there any updates to the list of games playable on nintendo 64?,4
what tool or device is used for a spirometer test?,3
"which individual is known for the saying ""soldiers win wars, generals get the glory""?",0
