premise,label,hypothesis
l. 104134 directed the department to issue interim regulations within 30 days of the date of enactment.,1,the department will create temporary rules within   days.
you know they match it um my wife used to they matched hers only hers was a little bit better than ours um she hasn't been working for a couple of years her father took sick so she's been taking care of him,1,tart_of_turn>user
"subsequent to the issuance of the ffc report, nasa received iso 9000 certification for its headquarters office and each of its centers.",0,the issuance of the fcc report preceded nasa receiving iso    certification.
oh i've seen that yes,2,tart_of_turn>user
"mr. hastings, she said, ""do you think i and my husband are happy together?"" i was considerably taken aback, and murmured something about it's not being my business to think anything of the sort. ",2,mr. hastings was asking for advice on how to improve his marriage.
that's what we that's the way we call it which is really wrong but my wife's mother and the one she's in san antonio it's you know it's everything but the opposite of what you've seen i mean it's it's a little hotel hotel you might say,0,tart_of_turn>user
"give yourself a bare minimum of three days, time to get lost (you're never very far from the main landmarks signposted with bright yellow arrows).",1,let me know if you'd like more examples!
"these havens of relaxation set among golf courses, gardens, and orchards still do the mountain ranges of the peninsula's interior, but they are now holiday resorts.",2,"despite their current status as holiday destinations, these areas were originally established with a primary purpose other than leisure."
"some are put off by the cost of a hiring a divorce lawyer, which starts at about $1,500.",2,many people are deterred from pursuing divorce due to factors other than cost.
is the cost-cutting story plausible?,2,let me know if you'd like more examples!
"their ventures into social topics focus on alcohol, drugs, domestic violence, adultery, divorce, illegitimacy, crime, and urban decay.",1,tart_of_turn>user
"the pedestrian plaza in the city centre is bounded at one end by the ulu camii (great mosque), built in the 14th century with stone quarried from uluda .",0,one of the defining features of the pedestrian plaza in the city centre is its proximity to the historic ulu cami.
in some states yeah because it's reasonable now uh you know me with me being from louisville i'm going to say at louisville is unfair because louisville's got the highest uh uh the line the line the line drawn i don't know the correct word for it  but louisville's is higher than most other universities and,2,start_of_turn>model
i took the oilskin packet from round my neck and shoved it right in as far as i could.,0,the speaker was trying to conceal the oilskin packet by placing it somewhere hidden.
"one possibility is that studies report different estimates of the single true relationship between a given pollutant and a health effect due to differences in study design, random chance, or other factors.",0,random chance can contribute to discrepancies in reported estimates of the link between pollutants and health outcomes.
'indeed he is.',1,let me know if you'd like more examples!
"some are put off by the cost of a hiring a divorce lawyer, which starts at about $1,500.",2,divorce can sometimes be handled effectively without the need for a lawyer.
"mr. hastings, she said, ""do you think i and my husband are happy together?"" i was considerably taken aback, and murmured something about it's not being my business to think anything of the sort. ",2,the speaker was eager to offer an opinion about mr. hastings' marriage.
"it is difficult to believe that these bizarre shapes, staircases going nowhere, and windows in walls without rooms were built in 1724 by a serious student, rather than in the last century by some deranged architect.",2,the attribution of the structures to a deranged architect in the last century is unfounded and lacks any supporting evidence.
don't confine your visit to the mountain only.,0,expand your travel plans to encompass more than just the mountain.
l. 104134 directed the department to issue interim regulations within 30 days of the date of enactment.,1,start_of_turn>model
a deep cleft creased his chin.,0,the man's chin was marked by a significant indentation.
" if you're willing to wander off the beaten track you should be able to find cliff-backed coves with clear, blue water or patches of sand scarcely large enough for two families.",0,"if you venture beyond popular tourist areas, you can uncover beautiful, tranquil coves with clear blue water."
"mr. hastings, she said, ""do you think i and my husband are happy together?"" i was considerably taken aback, and murmured something about it's not being my business to think anything of the sort. ",2,mr. hastings was not concerned about his own happiness in the marriage.
"give yourself a bare minimum of three days, time to get lost (you're never very far from the main landmarks signposted with bright yellow arrows).",1,three days is sufficient time to explore the area.
prairie state will share the money with the county.,1,there is a process for allocating money between the state and the county.
"their ventures into social topics focus on alcohol, drugs, domestic violence, adultery, divorce, illegitimacy, crime, and urban decay.",1,let me know if you'd like more examples!
"this original doctrine, without any sense of buddha's divinity, was embraced by the hinayana (lesser vehicle) school which spread to sri lanka, burma, and thailand, as well as cambodia and laos.",0,"the doctrine, lacking a focus on buddha's divinity, was adopted by the hinayana school and disseminated to regions like sri lanka, burma, thailand, cambodia, and laos."
well you weren't charging gold and silver were you you can't do that can you,0,tart_of_turn>user
"even though quantifiable data was lacking during most of 1998, lsc had sufficient information to begin taking actions to address the problems.",1,let me know if you'd like more examples!
and uh of course there's another aspect of this too uh in terms of invasion of privacy i just thought about it being a professional and of course you probably belong to one or more professional organizations and that is that some of the organizations sell their mailing lists,2,the speaker believes selling mailing lists is a good practice.
but the standard for appointing an independent counsel can't be that broad.,2,a broad standard for appointing an independent counsel is essential to prevent abuse of power within government.
i've seen on tv where they take animals and young children in fact my daughter is one my wife took my daughters one year when they were getting some points for school took them to an elderly home and boy that really pumps them up that uh,0,start_of_turn>model
"their ventures into social topics focus on alcohol, drugs, domestic violence, adultery, divorce, illegitimacy, crime, and urban decay.",1,these ventures aim to shed light on social problems.
"mr. hastings, she said, ""do you think i and my husband are happy together?"" i was considerably taken aback, and murmured something about it's not being my business to think anything of the sort. ",2,the speaker found the question from mr. hastings to be inappropriate.
but the standard for appointing an independent counsel can't be that broad.,2,tart_of_turn>user
we don't expect badinage from the pillsbury doughboy or banter from betty crocker.,2,start_of_turn>model
and uh of course there's another aspect of this too uh in terms of invasion of privacy i just thought about it being a professional and of course you probably belong to one or more professional organizations and that is that some of the organizations sell their mailing lists,2,there's no connection between professional organizations and the invasion of privacy.
uh they finally got smart and got a riding lawn mower which was a big improvement for for us  us kids who had to go out there and uh mow the the grass every every week,1,start_of_turn>model
'indeed he is.',1,there is agreement about his status or identity.
"mr. hastings, she said, ""do you think i and my husband are happy together?"" i was considerably taken aback, and murmured something about it's not being my business to think anything of the sort. ",2,start_of_turn>model
"give yourself a bare minimum of three days, time to get lost (you're never very far from the main landmarks signposted with bright yellow arrows).",1,getting lost is not a significant concern during a three-day exploration.
"try to arrive as the chapel opens or at sunset (see page 39) and make your way to the upper level, where light blazes in through 15 stained-glass windows separated by buttresses so slim that there seems to be no wall at all.",1,visitors are encouraged to spend time admiring the chapel's stained-glass windows.
oh those hedges when they started moving whenever they  they made that into a movie i was thinking oh my gosh if they show that i'll just die for some reason that scared me more than anything,2,let me know if you'd like to explore more examples!
oh i've seen that yes,2,start_of_turn>model
i had to be guarded in what i said.,0,my statements required deliberation.
"their ventures into social topics focus on alcohol, drugs, domestic violence, adultery, divorce, illegitimacy, crime, and urban decay.",1,the ventures explore societal issues considered controversial.
yeah that's too bad because i mean i've been in the carolinas and you know there are some places in the carolinas it's really nice there,1,the speaker has visited the carolinas before.
oh those hedges when they started moving whenever they  they made that into a movie i was thinking oh my gosh if they show that i'll just die for some reason that scared me more than anything,2,start_of_turn>model
don't confine your visit to the mountain only.,0,don't limit your exploration to the mountain alone.
